regime_strength,bull_age,prev_day_ret,gap_atr,pos_vs_open_atr,dist_from_daylow_atr,range_used_atr,mins_since_open,bars_to_close,atr_norm,adx,st_dist_pct,year,net_pts,y,p,keep,thr
0.08522027649769597,37.0,0.021525134532090817,0.0,13.230004702717858,14.474411085646748,16.046292832504296,255.0,16.0,0.19121257516325718,36.51571113259439,13.340769487897145,2021,1.2260045000000228,1,0.8484837972181953,True,0.6499999999999999
0.08970304459691254,39.0,0.012356465302046926,1.5930122739914787,-2.691641428468369,1.7578066471630498,9.008759066710489,230.0,33.0,0.22499697266614707,16.315079939392632,14.476090021117132,2021,-1.274238500000034,0,0.7178877760735054,True,0.6499999999999999
0.09135840211963721,40.0,-0.005301442485513563,5.4874726271178345,11.445300050845786,12.621187042371037,13.561896635591273,290.0,21.0,0.1539875406606684,33.48537808255481,16.468619551045226,2021,-2.524779999999977,0,0.7226128433525999,True,0.6499999999999999
0.09274627918323182,41.0,0.020823004462072525,7.055765270149072,7.869892032089382,9.973052833768453,10.922867389365429,215.0,36.0,0.17431077775305573,38.03705565302786,18.16769682602397,2021,7.424405500000011,1,0.6853879158035902,True,0.6499999999999999
0.09745508301658415,43.0,-0.04937841291971645,2.7206397745162656,9.442220393909585,11.149288487723705,11.629401389108926,195.0,40.0,0.22289644264835198,40.70559345211308,17.720100399626478,2021,1.9247085000000117,1,0.668578946740025,True,0.6499999999999999
0.09921985444264082,44.0,0.03287704717672946,5.492570199749541,-5.492570199749541,3.3210889579881293,9.45233011119692,180.0,43.0,0.2779111634184484,15.315099465235278,18.119281074530672,2021,0.9246155000000114,1,0.6865939687408326,True,0.6499999999999999
0.10105022917534771,45.0,0.002484913028043989,4.383543712379058,0.27397148202367655,3.7671078778257665,6.301344086544949,370.0,5.0,0.17096088668854512,17.20710796215525,18.972604726095867,2021,2.574298999999989,1,0.6868089294828045,True,0.6499999999999999
0.10677695007973849,47.0,-0.006865254828950396,2.322469903418787,9.889226685525033,12.21169658894382,13.485309116625116,220.0,35.0,0.15345894061197268,46.93992425092549,20.444475093223573,2021,1.5238535000000342,1,0.6755448404609751,True,0.6499999999999999
0.11266388495675694,49.0,-0.026797984425103172,2.4511843611370407,-1.7912501100616465,3.4882238985411855,9.804737444548108,315.0,16.0,0.24922737976172524,27.72555618446077,18.706067241642238,2021,-2.8254579999999887,0,0.728348137885981,True,0.6499999999999999
0.11640954682197112,51.0,-0.02104267643929536,4.253565929230942,-9.239303043001689,3.0681459161665825,12.446910137175875,360.0,7.0,0.3524430707646338,39.18642281233777,14.970022654320307,2021,-2.624342,0,0.8203158270479681,True,0.6499999999999999
0.11777596994529274,52.0,-0.023185605603188053,-0.8827551904003137,9.814160646215635,13.189401080099323,13.91637594278195,245.0,30.0,0.2331181132276398,19.786072884515313,16.23605427440488,2021,2.1251495,1,0.7711972327851422,True,0.6499999999999999
0.12009594775282015,56.0,-0.01939807194921228,3.287454876711426,-0.09961984474885341,3.138025109588146,6.525099831048369,170.0,45.0,0.23886164413138025,23.579082063186007,17.6711534040284,2021,2.1247175,1,0.6155391169577431,False,0.6499999999999999
0.11871951803685583,57.0,0.013067977460736069,-0.5338844164420852,0.7118458885894244,5.63544661799993,7.5337023209051965,225.0,34.0,0.19942720199140374,19.811843950253117,18.138654248297488,2021,-4.275234499999978,0,0.6726284653927619,True,0.6499999999999999
0.11226312013685778,59.0,-0.003345280764635583,2.6119887164589684,-1.6324929477868553,4.636279971714684,6.529971791147421,180.0,43.0,0.18324759885371825,18.339538268182935,17.198282201849793,2021,3.2248255000000228,1,0.5187527352977381,False,0.6499999999999999
