stop,trail,n,wr,pnl,exp,pf,sharpe,mdd
0.0,0.0,173,56.06936416184971,7778491.625000011,0.17984951734104074,1.3047687769625316,1.3440690078081243,-7069824.500000014
0.0,1.0,173,36.99421965317919,-2555333.752351309,-0.05908286132604183,0.8224151955542585,-0.9891146973481715,-4392346.5458818525
0.0,1.5,173,36.41618497109826,-2474390.199525214,-0.05721133409306855,0.8682498760597404,-0.6371108100180528,-5113778.364430487
0.0,2.0,173,40.46242774566474,-1805510.1535899444,-0.04174589950496979,0.9191216477517479,-0.4296048107463707,-7834136.202049615
0.0,3.0,173,47.398843930635834,-669932.5019466449,-0.015489768831136308,0.9740898855945501,-0.14777728287776684,-5364889.774170836
0.75,0.0,173,27.167630057803464,1627052.812273584,0.03761971820285745,1.0853430023023087,0.3739864693015114,-3524573.3979494073
0.75,1.0,173,36.41618497109826,-1364465.422599225,-0.03154833347050231,0.895712538544876,-0.5466634150482156,-3220262.264164487
0.75,1.5,173,34.104046242774565,108486.25208656257,0.0025083526494002863,1.0072529983583496,0.030574752603188014,-3045813.1297953185
0.75,2.0,173,31.79190751445087,-187240.75376958633,-0.004329265983111783,0.9887990430357089,-0.05198617423493311,-5102470.366220715
0.75,3.0,173,27.167630057803464,-1599840.685037435,-0.0369905360702297,0.9114638500531841,-0.47883670625856245,-4917211.158259301
1.0,0.0,173,31.79190751445087,1240685.4624969205,0.028686369075073333,1.0561214940950887,0.2690561653020181,-3283232.647022431
1.0,1.0,173,36.99421965317919,-2555333.752351309,-0.05908286132604183,0.8224151955542585,-0.9891146973481715,-4392346.5458818525
1.0,1.5,173,34.68208092485549,-1790782.7392271976,-0.04140538125380803,0.8952080683213053,-0.48850472338776685,-4348462.952475082
1.0,2.0,173,34.68208092485549,-1154178.8989553917,-0.026686217316887643,0.938387081678613,-0.3077033722998881,-6257948.332877863
1.0,3.0,173,31.79190751445087,-2466371.7692605993,-0.057025936861516746,0.8809624962554239,-0.691326079576955,-5408540.594434767
1.5,0.0,173,39.884393063583815,1599868.1791458325,0.03699117177215798,1.0629748155285923,0.32223248497656753,-3444797.463845074
1.5,1.0,173,36.99421965317919,-2555333.752351309,-0.05908286132604183,0.8224151955542585,-0.9891146973481715,-4392346.5458818525
1.5,1.5,173,36.41618497109826,-2474390.199525214,-0.05721133409306855,0.8682498760597404,-0.6371108100180528,-5113778.364430487
1.5,2.0,173,38.72832369942196,-630427.1034496096,-0.014576349212707753,0.9694820039634169,-0.15707284070023625,-7049676.494056998
1.5,3.0,173,39.30635838150289,-1719304.6175228625,-0.039752707919603766,0.9267516947119523,-0.4336608336724164,-5153721.369985022
2.0,0.0,173,45.664739884393065,2681114.2238855055,0.06199108032105215,1.1009580218632036,0.5135886985590192,-4442368.698859636
2.0,1.0,173,36.99421965317919,-2555333.752351309,-0.05908286132604183,0.8224151955542585,-0.9891146973481715,-4392346.5458818525
2.0,1.5,173,36.41618497109826,-2474390.199525214,-0.05721133409306855,0.8682498760597404,-0.6371108100180528,-5113778.364430487
2.0,2.0,173,40.46242774566474,-1805510.1535899444,-0.04174589950496979,0.9191216477517479,-0.4296048107463707,-7834136.202049615
2.0,3.0,173,44.50867052023121,-955765.8485842015,-0.022098632337206964,0.9615884642501065,-0.22312934429007772,-4966215.624845432
3.0,0.0,173,53.179190751445084,6552513.648535231,0.1515032057464793,1.2517095348303404,1.1997195040255906,-5162498.125076249
3.0,1.0,173,36.99421965317919,-2555333.752351309,-0.05908286132604183,0.8224151955542585,-0.9891146973481715,-4392346.5458818525
3.0,1.5,173,36.41618497109826,-2474390.199525214,-0.05721133409306855,0.8682498760597404,-0.6371108100180528,-5113778.364430487
3.0,2.0,173,40.46242774566474,-1805510.1535899444,-0.04174589950496979,0.9191216477517479,-0.4296048107463707,-7834136.202049615
3.0,3.0,173,47.398843930635834,-669932.5019466449,-0.015489768831136308,0.9740898855945501,-0.14777728287776684,-5364889.774170836
