stop,trail,n,wr,pnl,exp,pf,sharpe,mdd
0.0,0.0,90,66.66666666666666,72038269.87499999,3.2017008833333325,2.1568003331453,4.262777183150549,-14283322.624999993
0.0,1.0,177,36.15819209039548,-3106890.665137151,-0.07021221842117853,0.8337182490397494,-0.8235891699915453,-5985132.844975046
0.0,1.5,177,33.89830508474576,-5998265.953425521,-0.13555403284577452,0.7854410614333148,-1.0812060076232135,-8947285.80390262
0.0,2.0,177,32.20338983050847,-8051281.089345923,-0.18194985512646164,0.7985866299669334,-1.006352059269629,-11949011.009303775
0.0,3.0,174,35.63218390804598,-750547.3281051926,-0.017253961565636678,0.986542062318091,-0.0679896315938916,-12979630.046689298
0.75,0.0,164,7.926829268292683,2979916.028134048,0.07268087873497683,1.0729486735881808,0.2579593971263198,-16041577.372704232
0.75,1.0,177,35.59322033898305,-1926490.3811133849,-0.04353650578787308,0.8892139580610594,-0.5187812707283305,-4964468.884033609
0.75,1.5,177,32.20338983050847,-2446959.791628229,-0.05529852636447972,0.8947974058401782,-0.4609402141629872,-5997895.051692465
0.75,2.0,177,27.11864406779661,-1447702.4316414818,-0.0327164391331408,0.9485870130817555,-0.21064277742453968,-8739009.218429383
0.75,3.0,176,20.454545454545457,-696340.2736532129,-0.01582591531030034,0.9797976039151729,-0.08218911980704151,-12350244.029518045
1.0,0.0,162,9.25925925925926,-761769.2128476351,-0.018809116366608286,0.9840947297253323,-0.06499467931938008,-19975035.581580207
1.0,1.0,177,36.15819209039548,-3106890.665137151,-0.07021221842117853,0.8337182490397494,-0.8235891699915453,-5985132.844975046
1.0,1.5,177,32.7683615819209,-4816845.344919303,-0.10885526203207464,0.8133769057681624,-0.8930566578397143,-7697880.618845452
1.0,2.0,177,28.8135593220339,-3906777.225340107,-0.08828875085514365,0.8751664056388458,-0.562190363004735,-10998420.91628262
1.0,3.0,176,22.15909090909091,-6189119.327114331,-0.1406618028889621,0.847243280271035,-0.7156583138003387,-16943118.56097669
1.5,0.0,157,13.375796178343949,-5299215.588266296,-0.13501186212143418,0.9120280726854484,-0.42587918771585864,-17506833.864437383
1.5,1.0,177,36.15819209039548,-3106890.665137151,-0.07021221842117853,0.8337182490397494,-0.8235891699915453,-5985132.844975046
1.5,1.5,177,33.89830508474576,-5998265.953425521,-0.13555403284577452,0.7854410614333148,-1.0812060076232135,-8947285.80390262
1.5,2.0,177,31.07344632768362,-6780358.924710751,-0.15322845027594917,0.8211741752311786,-0.8609358039892325,-11669004.42987572
1.5,3.0,176,27.84090909090909,-10512918.392027324,-0.23892996345516646,0.7971096218896769,-1.077580008548029,-17209064.82699685
2.0,0.0,152,17.105263157894736,16927561.2737079,0.4454621387817868,1.2585898547793666,1.080127447544741,-18701789.64225926
2.0,1.0,177,36.15819209039548,-3106890.665137151,-0.07021221842117853,0.8337182490397494,-0.8235891699915453,-5985132.844975046
2.0,1.5,177,33.89830508474576,-5998265.953425521,-0.13555403284577452,0.7854410614333148,-1.0812060076232135,-8947285.80390262
2.0,2.0,177,32.20338983050847,-8051281.089345923,-0.18194985512646164,0.7985866299669334,-1.006352059269629,-11949011.009303775
2.0,3.0,174,32.758620689655174,-2324027.4566252357,-0.05342591854310883,0.9574884736458268,-0.2142238950812231,-13654730.876561057
3.0,0.0,141,27.659574468085108,41468523.164338835,1.1764120046620945,1.6424860504900816,2.572323859837373,-16080330.070771936
3.0,1.0,177,36.15819209039548,-3106890.665137151,-0.07021221842117853,0.8337182490397494,-0.8235891699915453,-5985132.844975046
3.0,1.5,177,33.89830508474576,-5998265.953425521,-0.13555403284577452,0.7854410614333148,-1.0812060076232135,-8947285.80390262
3.0,2.0,177,32.20338983050847,-8051281.089345923,-0.18194985512646164,0.7985866299669334,-1.006352059269629,-11949011.009303775
3.0,3.0,174,35.63218390804598,-750547.3281051926,-0.017253961565636678,0.986542062318091,-0.0679896315938916,-12979630.046689298
