bars,n,wr,pnl,exp,pf,sharpe,mdd,avg_capture
0,173,56.06936416184971,7778491.625000011,0.17984951734104074,1.3047687769625316,1.3440690078081243,-7069824.500000014,56.956534831935976
1,173,56.06936416184971,7778491.625000011,0.17984951734104074,1.3047687769625316,1.3440690078081243,-7069824.500000014,56.956534831935976
2,175,56.00000000000001,7579297.250000023,0.1732410800000005,1.2944659425700686,1.3112930134779748,-6825127.000000008,57.5106529655032
3,174,55.74712643678161,7995833.374999997,0.18381226149425278,1.3127641490026383,1.3864733416142767,-7100135.25,58.1338834547078
4,174,56.32183908045977,8470827.375000035,0.1947316637931042,1.3326974879276394,1.4620903858274983,-7612650.625000003,57.87533263886719
5,174,55.74712643678161,7283312.000000006,0.1674324597701151,1.2875648044936991,1.276789349575463,-7500147.250000006,57.15093037456352
