entry_time,exit_time,direction,entry_px,exit_px,exit_reason,entry_atr,gross_pts,cost_pts,net_pts,net_krw,entry_pos,exit_pos,exit_date,mfe_pts
2019-09-30 15:20:00,2019-09-30 15:45:00,1,273.8,274.15,eod,0.2351470973341672,0.3499999999999659,0.1164385,0.2335614999999659,58390.37499999147,6546,6549,2019-09-30,0.5999999999999659
2019-10-10 15:20:00,2019-10-10 15:45:00,1,270.2,270.35,eod,0.3732652953215365,0.1500000000000341,0.1162165,0.033783500000034106,8445.875000008526,7026,7029,2019-10-10,0.35000000000002274
2019-12-03 13:15:00,2019-12-03 15:45:00,1,276.15,276.25,eod,0.26036501923436567,0.10000000000002274,0.11657200000000001,-0.01657199999997727,-4142.9999999943175,9871,9899,2019-12-03,0.7000000000000455
2020-01-08 12:40:00,2020-01-08 15:45:00,1,291.1,290.15,eod,0.434538133335295,-0.9500000000000455,0.1174375,-1.0674375000000456,-266859.3750000114,11448,11483,2020-01-08,0.39999999999997726
2020-01-22 12:55:00,2020-01-22 15:45:00,1,305.05,306.75,eod,0.31268245510607584,1.6999999999999886,0.118354,1.5816459999999886,395411.49999999715,12251,12283,2020-01-22,1.8999999999999773
2020-02-03 11:30:00,2020-02-03 15:45:00,1,284.9,285.2,eod,0.9040709054961673,0.30000000000001137,0.117103,0.18289700000001136,45724.25000000284,12714,12763,2020-02-03,1.75
2020-02-04 15:00:00,2020-02-04 15:45:00,1,290.55,291.4,eod,0.46611078938354744,0.8499999999999659,0.11745850000000001,0.7325414999999659,183135.37499999147,12836,12843,2020-02-04,0.8499999999999659
2020-02-05 12:20:00,2020-02-05 15:45:00,1,293.0,292.3,eod,0.5184063297174826,-0.6999999999999886,0.117559,-0.8175589999999886,-204389.74999999715,12884,12923,2020-02-05,0.6000000000000227
2020-02-06 14:45:00,2020-02-06 15:45:00,1,300.65,301.4,eod,0.47158076841042773,0.75,0.1180615,0.6319385,157984.625,12993,13003,2020-02-06,0.75
2020-02-12 14:35:00,2020-02-12 15:45:00,1,301.5,301.85,eod,0.3949013647881351,0.35000000000002274,0.11810050000000001,0.23189950000002274,57974.87500000568,13311,13323,2020-02-12,1.0500000000000114
2020-02-19 13:35:00,2020-02-19 15:45:00,1,298.65,298.75,eod,0.3551294458532839,0.10000000000002274,0.117922,-0.01792199999997726,-4480.499999994316,13699,13723,2020-02-19,0.10000000000002274
2020-02-25 15:30:00,2020-02-25 15:45:00,1,284.2,284.7,eod,0.3954176270168103,0.5,0.117067,0.38293299999999997,95733.24999999999,14042,14043,2020-02-25,0.5
2020-02-26 12:30:00,2020-02-26 15:45:00,1,281.2,280.0,eod,0.5522834831348715,-1.1999999999999886,0.11683600000000001,-1.3168359999999886,-329208.99999999715,14086,14123,2020-02-26,0.8000000000000114
2020-03-02 11:35:00,2020-03-02 15:45:00,1,271.55,270.9,eod,0.7075800588475145,-0.6500000000000341,0.1162735,-0.7662735000000341,-191568.37500000853,14315,14363,2020-03-02,0.8999999999999773
2020-03-03 13:15:00,2020-03-03 15:45:00,1,275.55,272.3,eod,0.5186780909653524,-3.25,0.11643550000000001,-3.3664355,-841608.875,14415,14443,2020-03-03,-0.25
2020-05-25 13:05:00,2020-05-25 15:45:00,1,261.05,263.0,eod,0.2782056895019911,1.9499999999999886,0.1157215,1.8342784999999886,458569.62499999715,18479,18509,2020-05-25,1.9499999999999886
2020-05-28 15:25:00,2020-05-28 15:45:00,1,268.05,268.3,eod,0.511712250703103,0.25,0.11609050000000001,0.1339095,33477.375,18747,18749,2020-05-28,0.30000000000001137
2020-05-29 15:00:00,2020-05-29 15:45:00,1,268.35,267.0,eod,0.5166068729779256,-1.3500000000000227,0.11606050000000001,-1.4660605000000229,-366515.1250000057,18822,18829,2020-05-29,1.0
2020-06-03 14:30:00,2020-06-03 15:45:00,1,286.0,286.25,eod,0.5114938032167029,0.25,0.11716750000000001,0.1328325,33208.125,19056,19069,2020-06-03,1.5500000000000114
2020-06-05 14:10:00,2020-06-05 15:45:00,1,290.3,291.55,eod,0.392933930720854,1.25,0.1174555,1.1325445,283136.125,19212,19229,2020-06-05,1.25
2020-06-16 12:30:00,2020-06-16 15:45:00,1,280.1,279.8,eod,0.6509579651201529,-0.30000000000001137,0.11679700000000001,-0.4167970000000114,-104199.25000000285,19748,19785,2020-06-16,2.849999999999966
2020-06-17 12:10:00,2020-06-17 15:45:00,1,279.8,281.85,eod,0.9705163132811246,2.0500000000000114,0.11684950000000001,1.9331505000000113,483287.62500000285,19824,19865,2020-06-17,3.099999999999966
2020-06-18 13:10:00,2020-06-18 15:45:00,1,281.3,281.65,eod,0.4978302348992087,0.3499999999999659,0.1168885,0.2331114999999659,58277.87499999147,19916,19945,2020-06-18,0.8999999999999773
2020-06-19 13:50:00,2020-06-19 15:45:00,1,280.65,282.2,eod,0.49033534490362385,1.5500000000000114,0.1168855,1.4331145000000114,358278.62500000285,20004,20025,2020-06-19,1.900000000000034
2020-06-23 11:05:00,2020-06-23 15:45:00,1,280.85,281.5,eod,1.1092873801052765,0.6499999999999773,0.1168705,0.5331294999999773,133282.37499999432,20131,20185,2020-06-23,2.75
2020-06-26 12:55:00,2020-06-26 15:45:00,1,281.95,281.65,eod,0.42412053512692177,-0.30000000000001137,0.11690800000000001,-0.4169080000000114,-104227.00000000285,20393,20425,2020-06-26,1.3500000000000227
2020-07-06 14:10:00,2020-07-06 15:45:00,1,290.6,290.7,eod,0.3038636496731306,0.0999999999999659,0.117439,-0.017439000000034108,-4359.7500000085265,20888,20905,2020-07-06,0.5499999999999545
2020-07-13 15:00:00,2020-07-13 15:45:00,1,290.0,289.8,eod,0.23850682517521019,-0.19999999999998863,0.117394,-0.31739399999998863,-79348.49999999716,21218,21225,2020-07-13,0.25
2020-07-20 14:30:00,2020-07-20 15:45:00,1,290.95,290.9,eod,0.2849200632622886,-0.05000000000001137,0.1174555,-0.16745550000001136,-41863.87500000284,21612,21625,2020-07-20,0.35000000000002274
2020-08-05 13:45:00,2020-08-05 15:45:00,1,305.55,306.7,eod,0.3306789031769663,1.1499999999999773,0.11836750000000001,1.0316324999999773,257908.12499999432,22563,22585,2020-08-05,1.1499999999999773
2020-08-10 13:50:00,2020-08-10 15:45:00,1,316.5,316.95,eod,0.42031774393753973,0.44999999999998863,0.11900350000000001,0.3309964999999886,82749.12499999715,22804,22825,2020-08-10,0.6499999999999773
2020-08-21 12:50:00,2020-08-21 15:45:00,1,307.75,306.95,eod,0.5885809280893474,-0.8000000000000114,0.118441,-0.9184410000000114,-229610.25000000285,23432,23465,2020-08-21,2.1499999999999773
2020-08-26 14:05:00,2020-08-26 15:45:00,1,313.65,314.0,eod,0.4704055126633294,0.35000000000002274,0.1188295,0.23117050000002273,57792.62500000568,23687,23705,2020-08-26,1.3000000000000114
2020-08-28 12:35:00,2020-08-28 15:45:00,1,314.55,312.95,eod,0.4571648599742806,-1.6000000000000227,0.11882500000000001,-1.7188250000000227,-429706.25000000565,23829,23865,2020-08-28,0.5
2020-09-14 09:00:00,2020-09-14 15:45:00,1,318.65,320.0,eod,0.5721229128492531,1.3500000000000227,0.1191595,1.2308405000000227,307710.12500000565,24662,24741,2020-09-14,1.8500000000000227
2020-09-23 14:00:00,2020-09-23 15:45:00,1,308.35,309.3,eod,0.6428115570316564,0.9499999999999886,0.11852950000000001,0.8314704999999887,207867.62499999718,25282,25301,2020-09-23,1.349999999999966
2020-09-28 12:30:00,2020-09-28 15:45:00,1,307.65,307.65,eod,0.35012148728542697,0.0,0.11845900000000001,-0.11845900000000001,-29614.750000000004,25504,25541,2020-09-28,0.4500000000000455
2020-10-07 14:40:00,2020-10-07 15:45:00,1,316.95,317.7,eod,0.3301553030850917,0.75,0.1190395,0.6309605,157740.125,25850,25861,2020-10-07,0.75
2020-10-13 15:15:00,2020-10-13 15:45:00,1,319.0,318.8,eod,0.3550043270209562,-0.19999999999998863,0.119134,-0.31913399999998865,-79783.49999999716,26097,26101,2020-10-13,0.35000000000002274
2020-10-20 14:15:00,2020-10-20 15:45:00,1,313.35,315.0,eod,0.3916963079692598,1.6499999999999773,0.11885050000000001,1.5311494999999773,382787.3749999943,26485,26501,2020-10-20,1.6999999999999886
2020-10-23 12:35:00,2020-10-23 15:45:00,1,315.25,315.3,eod,0.3754093773805657,0.05000000000001137,0.11891650000000001,-0.06891649999998864,-17229.12499999716,26705,26741,2020-10-23,0.44999999999998863
2020-10-29 15:30:00,2020-10-29 15:45:00,1,309.5,309.2,eod,0.4159314594028744,-0.30000000000001137,0.118561,-0.4185610000000114,-104640.25000000285,27060,27061,2020-10-29,-0.30000000000001137
2020-11-04 13:00:00,2020-11-04 15:45:00,1,314.5,313.8,eod,0.6361269066231205,-0.6999999999999886,0.11884900000000001,-0.8188489999999886,-204712.24999999715,27350,27381,2020-11-04,0.5
2020-11-13 14:05:00,2020-11-13 15:45:00,1,332.25,333.1,eod,0.41309373399634997,0.8500000000000227,0.11996050000000001,0.7300395000000227,182509.87500000568,27923,27941,2020-11-13,1.0
2020-11-26 15:00:00,2020-11-26 15:45:00,1,351.15,351.95,eod,0.40187295032661263,0.8000000000000114,0.121093,0.6789070000000114,169726.75000000285,28654,28661,2020-11-26,0.9000000000000341
2020-12-01 15:05:00,2020-12-01 15:45:00,1,352.9,352.4,eod,0.303940112855506,-0.5,0.121159,-0.621159,-155289.75,28895,28901,2020-12-01,0.1500000000000341
2020-12-03 15:35:00,2020-12-03 15:45:00,1,360.55,360.9,eod,0.47061478044277216,0.3499999999999659,0.12164350000000002,0.22835649999996588,57089.12499999147,29049,29051,2020-12-03,0.44999999999998863
2020-12-07 14:30:00,2020-12-07 15:45:00,1,368.9,369.85,eod,0.44796274902622485,0.9500000000000455,0.12216250000000001,0.8278375000000455,206959.37500001138,29198,29211,2020-12-07,1.8000000000000114
2020-12-09 14:20:00,2020-12-09 15:45:00,1,368.95,371.25,eod,0.40631000312538745,2.3000000000000114,0.12220600000000001,2.1777940000000116,544448.5000000029,29356,29371,2020-12-09,2.8500000000000227
2020-12-10 13:55:00,2020-12-10 15:15:00,1,371.95,370.3,eod,0.5423276356761131,-1.6499999999999773,0.1222675,-1.7722674999999772,-443066.8749999943,29431,29447,2020-12-10,-0.0999999999999659
2020-12-17 15:15:00,2020-12-17 15:45:00,1,366.55,366.85,eod,0.39420822146853407,0.30000000000001137,0.12200200000000001,0.17799800000001137,44499.500000002845,29763,29767,2020-12-17,0.30000000000001137
2020-12-21 14:15:00,2020-12-21 15:45:00,1,366.25,366.35,eod,0.3833413540657388,0.10000000000002274,0.121978,-0.021977999999977266,-5494.499999994317,29911,29927,2020-12-21,0.5
2020-12-23 13:50:00,2020-12-23 15:45:00,1,365.5,365.65,eod,0.4420192563353672,0.14999999999997726,0.1219345,0.02806549999997726,7016.374999994316,30066,30087,2020-12-23,0.39999999999997726
2020-12-24 14:50:00,2020-12-24 15:45:00,1,373.5,374.1,eod,0.5666839795090743,0.6000000000000227,0.12242800000000001,0.47757200000002276,119393.00000000569,30158,30167,2020-12-24,0.6000000000000227
2020-12-30 12:35:00,2020-12-30 15:45:00,1,385.25,389.15,eod,0.6125931724246918,3.8999999999999773,0.12323200000000001,3.7767679999999775,944191.9999999944,30371,30407,2020-12-30,5.199999999999989
2021-01-04 14:15:00,2021-01-04 15:45:00,1,399.25,400.6,eod,0.7588864773150715,1.3500000000000227,0.12399550000000001,1.2260045000000228,306501.1250000057,30459,30475,2021-01-04,1.3500000000000227
2021-01-06 12:50:00,2021-01-06 15:45:00,1,404.55,403.4,eod,0.8844948777122634,-1.150000000000034,0.1242385,-1.274238500000034,-318559.6250000085,30602,30635,2021-01-06,2.75
2021-01-07 13:50:00,2021-01-07 15:45:00,1,414.2,411.8,eod,0.6529723653153082,-2.3999999999999773,0.12478,-2.524779999999977,-631194.9999999943,30694,30715,2021-01-07,-0.3499999999999659
2021-01-08 12:35:00,2021-01-08 15:45:00,1,422.8,430.35,eod,0.723629827744212,7.550000000000011,0.1255945,7.424405500000011,1856101.3750000028,30759,30795,2021-01-08,9.399999999999977
2021-01-19 12:15:00,2021-01-19 15:45:00,1,420.5,422.55,eod,0.9060452883837258,2.0500000000000114,0.1252915,1.9247085000000115,481177.12500000285,30915,30955,2021-01-19,3.3000000000000114
2021-01-20 12:00:00,2021-01-20 15:45:00,1,422.55,423.6,eod,1.1618626480943213,1.0500000000000114,0.1253845,0.9246155000000114,231153.87500000285,30992,31035,2021-01-20,2.4499999999999886
2021-01-21 15:10:00,2021-01-21 15:45:00,1,427.0,429.7,eod,0.7957170585772267,2.6999999999999886,0.125701,2.574298999999989,643574.7499999972,31110,31115,2021-01-21,3.1999999999999886
2021-01-25 12:40:00,2021-01-25 15:45:00,1,434.95,436.6,eod,0.6554362946699357,1.650000000000034,0.1261465,1.5238535000000342,380963.37500000856,31240,31275,2021-01-25,2.5
2021-01-27 14:15:00,2021-01-27 15:45:00,1,425.65,422.95,eod,1.0563751762469096,-2.6999999999999886,0.12545800000000001,-2.8254579999999887,-706364.4999999972,31419,31435,2021-01-27,0.9000000000000341
2021-01-29 15:00:00,2021-01-29 15:45:00,1,406.95,404.45,eod,1.4673700795883478,-2.5,0.12434200000000001,-2.624342,-656085.5,31588,31595,2021-01-29,-0.5999999999999659
2021-02-01 13:05:00,2021-02-01 15:45:00,1,413.05,415.3,eod,0.9584019119234242,2.25,0.1248505,2.1251495,531287.375,31645,31675,2021-02-01,2.25
