entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability
2019-06-03 11:10:00,2019-06-03 15:45:00,1,266.0,268.25,eod,2.25,0.1160275,2.1339725,67220.13375000001,1.0,2019-06-03,265.95,266.05,265.95,0.0,268.25,268.25,268.25,0.0,0.0,2019,50.76923076923093,0.4637055092577498,0.5260816258533926,-0.0623761165956427,0.3250000000000049,267.1625,1.0,265.8525,,266.63283393661413,265.0721660633859,265.8525,1,11,0,6,0.7172199
2019-06-10 10:15:00,2019-06-10 15:45:00,1,269.15,272.1,eod,2.950000000000045,0.1162375,2.833762500000045,89263.51875000143,1.0,2019-06-10,269.1,269.25,269.0,0.0,272.1,272.1,272.1,0.0,1.0,2019,25.423728813560373,0.2360622811842745,0.3368464766102403,-0.1007841954259658,0.3214285714285795,265.8339285714286,-1.0,269.475,268.9766666666667,271.2654718578321,267.68452814216795,269.475,1,10,0,6,0.8144968
2019-06-17 10:50:00,2019-06-17 12:35:00,1,271.5,269.9,eod,-1.6000000000000227,0.116242,-1.7162420000000227,-54061.62300000071,1.0,2019-06-17,271.35,271.6,271.2,0.0,269.9,269.95,269.8,0.0,1.0,2019,68.88888888888843,0.3727488654371313,0.2643128617535393,0.108436003683592,0.3250000000000008,274.8142857142857,1.0,270.5975,270.3041666666667,271.88855220246046,269.3064477975395,270.5975,0,10,0,6,0.6530466
2019-07-19 09:15:00,2019-07-19 15:45:00,1,273.55,275.15,eod,1.599999999999966,0.116461,1.483538999999966,46731.47849999893,1.0,2019-07-19,273.25,273.6,273.2,0.0,275.15,275.15,275.15,0.0,1.0,2019,75.60975609756181,0.5110185955367683,0.2436303025982286,0.2673882929385397,0.4035714285714228,275.4464285714286,1.0,271.5825,271.2183333333333,273.48603549178176,269.6789645082182,271.5825,1,9,4,7,0.7127741
2019-08-08 10:45:00,2019-08-08 13:00:00,1,253.75,254.1,pivot,0.3499999999999943,0.1152355,0.2347644999999943,7395.081749999821,1.0,2019-08-08,254.35,254.5,253.75,0.0,253.9,254.15,253.85,0.0,1.0,2019,60.29411764705873,0.2195147259261602,0.1219048842465906,0.0976098416795696,0.5214285714285702,250.01071428571427,-1.0,253.455,253.0533333333333,254.4747522920493,252.4352477079508,253.455,1,10,3,8,0.6335874
2019-08-08 13:00:00,2019-08-08 14:35:00,1,254.1,255.55,pivot,1.450000000000017,0.1152895,1.334710500000017,42043.380750000535,1.0,2019-08-08,253.9,254.15,253.85,0.0,255.0,255.55,254.95,0.0,1.0,2019,49.29577464788757,0.0756306771407082,0.0982565797671911,-0.0226259026264828,0.4178571428571404,250.01071428571427,-1.0,254.015,253.62416666666664,254.61156913860145,253.41843086139855,254.015,1,13,3,8,0.71411806
2019-08-09 09:25:00,2019-08-09 13:55:00,1,254.9,255.45,eod,0.549999999999983,0.1153105,0.4346894999999829,13692.719249999463,1.0,2019-08-09,255.1,255.1,254.6,0.0,255.45,255.45,255.3,0.0,1.0,2019,64.102564102564,0.1942363138193172,0.0371349101396415,0.1571014036796757,0.6428571428571368,250.01071428571427,-1.0,254.225,254.15166666666667,255.8480251158261,252.6019748841739,254.225,1,9,4,8,0.6882584
2019-08-19 09:15:00,2019-08-19 15:45:00,1,254.75,255.75,eod,1.0,0.115315,0.8846849999999999,27867.5775,1.0,2019-08-19,254.75,254.9,254.45,0.0,255.75,255.75,255.75,0.0,1.0,2019,74.46808510638257,0.3533125892989517,0.2228734531333597,0.1304391361655919,0.3285714285714322,250.01071428571427,-1.0,253.8725,253.4508333333333,254.95463969342205,252.79036030657795,253.8725,1,9,0,8,0.8511933
2019-08-20 11:55:00,2019-08-20 15:45:00,1,256.6,258.0,eod,1.3999999999999773,0.115438,1.2845619999999771,40463.70299999929,1.0,2019-08-20,256.9,257.0,256.55,0.0,258.0,258.0,258.0,0.0,1.0,2019,80.39215686274497,0.3448881946900428,0.2702500213621406,0.0746381733279022,0.2857142857142897,250.01071428571427,-1.0,255.98999999999995,255.4983333333333,257.038608100116,254.9413918998839,255.98999999999995,1,11,1,8,0.87088543
2019-08-27 09:20:00,2019-08-27 13:40:00,1,253.55,253.75,eod,0.1999999999999886,0.115219,0.0847809999999886,2670.601499999642,1.0,2019-08-27,253.75,253.9,253.55,0.0,253.75,253.8,253.7,0.0,1.0,2019,79.06976744186078,0.2722179163391729,0.1383016563833078,0.1339162599558651,0.2857142857142857,250.01071428571427,-1.0,252.7725,252.60333333333327,253.77485249618667,251.7701475038133,252.7725,1,9,1,8,0.9064497
