entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma5,entry_ma10,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,atr_normalized,volatility_regime,trend_regime,momentum_regime,is_win,entry_hour,entry_dayofweek,entry_month,ret_log_5m_kde_pdf,ret_log_5m_kde_cdf,ret_log_5m_kde_zscore,ret_log_5m_kde_left_tail,ret_log_5m_kde_right_tail,ret_log_5m_kde_median,ret_log_5m_kde_mean,ret_log_5m_kde_std,ret_log_5m_kde_ready,kde_aligned_tail_5m,kde_opposite_tail_5m,kde_aligned_zscore_5m,rsi_oversold,rsi_overbought,macd_bullish,macd_strength,price_above_ma20,price_above_ma60,price_above_ma5,price_above_ma10,bb_position,bb_lower_touch,price_above_st,is_morning,is_afternoon,is_bull,is_neutral,is_bear,kde_tail_spread_5m,kde_zscore_abs_5m,filter_score,entry_score,exit_score
2025-04-07 10:25:00,2025-04-07 10:30:00,1,313.75,314.3,pivot,0.5500000000000114,0.1188415,0.23115850000001137,7281.492750000358,1.0,2025-04-07,314.3,314.75,313.7,0.0,314.65,314.8,313.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1,10,0,4,8.107404227993158,0.9952771643489252,3.290639510203592,0.9952771643489252,0.0047228356510746,-2.10324740871684e-05,6.809664114516955e-07,0.0011157075944726,True,0.9952771643489252,0.0047228356510746,-3.290639510203592,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9905543286978507,3.290639510203592,0.5197103,0.5414456879641263,0.51557577
2025-04-07 10:30:00,2025-04-07 10:55:00,1,314.3,314.3,pivot,0.0,0.118858,-0.318858,-10044.027,1.0,2025-04-07,314.65,314.8,313.55,0.0,314.7,315.0,314.2,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,10,0,4,46.22695046509296,0.9592211037981913,1.5692036155266245,0.9592211037981913,0.0407788962018087,-2.10324740871684e-05,6.809664114516955e-07,0.0011157075944726,True,0.9592211037981913,0.0407788962018087,-1.5692036155266245,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9184422075963825,1.5692036155266245,0.5197103,0.5414456879641263,0.5256026
2025-09-15 10:35:00,2025-09-15 10:40:00,1,465.9,465.3,pivot,-0.5999999999999659,0.127936,-0.9279359999999659,-29229.983999998927,1.0,2025-09-15,465.3,465.95,465.3,0.0,465.25,465.6,464.9,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,0,9,22.6951803363202,0.9854114458476912,2.294067628572716,0.9854114458476912,0.0145885541523087,3.1380185351383995e-05,4.835027264025811e-05,0.0008218897630147,True,0.9854114458476912,0.0145885541523087,-2.294067628572716,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9708228916953825,2.294067628572716,0.5047069,0.5349722774194401,0.5059575
2025-09-15 10:40:00,2025-09-15 13:45:00,1,465.3,467.0,pivot,1.6999999999999886,0.127969,1.3720309999999887,43218.97649999964,1.0,2025-09-15,465.25,465.6,464.9,0.0,467.25,467.25,466.95,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,0,9,97.12453080928668,0.0514335166700791,-1.4961681892237575,0.0514335166700791,0.9485664833299208,3.1380185351383995e-05,4.835027264025811e-05,0.0008218897630147,True,0.0514335166700791,0.9485664833299208,1.4961681892237575,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.8971329666598417,1.4961681892237575,0.5047069,0.5349722774194401,0.5068196
2025-09-22 10:55:00,2025-09-22 11:05:00,1,480.95,480.9,pivot,-0.0500000000000113,0.1288555,-0.37885550000001134,-11933.948250000358,1.0,2025-09-22,481.05,481.35,480.8,0.0,480.2,480.95,480.15,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,0,9,485.7846795900666,0.715835280057668,0.4173065721274679,0.715835280057668,0.2841647199423319,4.625231676189236e-05,6.412414343965325e-05,0.0008430396494892,True,0.715835280057668,0.2841647199423319,-0.4173065721274679,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.43167056011533617,0.4173065721274679,0.5047069,0.5349722774194401,0.50296235
2025-09-23 10:45:00,2025-09-23 10:50:00,1,481.0,480.55,pivot,-0.4499999999999886,0.1288465,-0.7788464999999886,-24533.66474999964,1.0,2025-09-23,480.6,481.1,480.5,0.0,480.3,480.7,480.25,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,1,9,191.4184292584112,0.1033497593406359,-1.062187014968094,0.1033497593406359,0.896650240659364,4.625231676189236e-05,6.412414343965325e-05,0.0008430396494892,True,0.1033497593406359,0.896650240659364,1.062187014968094,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.7933004813187281,1.062187014968094,0.5047069,0.5307094726411713,0.50519943
2025-09-23 10:50:00,2025-09-23 15:45:00,1,480.55,482.85,eod,2.300000000000012,0.128902,1.9710980000000111,62089.58700000035,1.0,2025-09-23,480.3,480.7,480.25,0.0,482.85,482.85,482.85,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,1,9,243.28806388814183,0.1260299413950749,-0.9395945258037528,0.1260299413950749,0.873970058604925,4.625231676189236e-05,6.412414343965325e-05,0.0008430396494892,True,0.1260299413950749,0.873970058604925,0.9395945258037528,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.7479401172098501,0.9395945258037528,0.5047069,0.5307094726411713,0.5000788
2025-09-29 10:50:00,2025-09-29 11:50:00,-1,476.55,476.85,pivot,-0.3000000000000113,0.128602,-0.6286020000000114,-19800.96300000036,1.0,2025-09-29,476.35,476.9,476.35,0.0,477.05,477.15,476.85,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,0,9,539.9482647319674,0.6130903958119913,0.2156480666821417,0.6130903958119913,0.3869096041880087,9.773988589113792e-06,1.440999844439926e-05,0.0009062523719658,True,0.3869096041880087,0.6130903958119913,0.2156480666821417,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.22618079162398264,0.2156480666821417,0.5047069,0.5349722774194401,0.50626254
2025-09-30 10:40:00,2025-09-30 11:10:00,1,477.0,476.05,pivot,-0.9499999999999886,0.1285915,-1.2785914999999886,-40275.63224999964,1.0,2025-09-30,476.55,477.0,476.3,0.0,476.15,476.25,475.95,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,1,9,378.4256000796867,0.758345761977045,0.5625766344339781,0.758345761977045,0.241654238022955,9.773988589113792e-06,1.440999844439926e-05,0.0009062523719658,True,0.758345761977045,0.241654238022955,-0.5625766344339781,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.5166915239540899,0.5625766344339781,0.5047069,0.5307094726411713,0.5008613
2025-10-10 10:45:00,2025-10-10 10:50:00,-1,508.0,507.4,pivot,0.6000000000000227,0.130462,0.26953800000002276,8490.447000000717,1.0,2025-10-10,507.4,508.05,506.9,0.0,507.3,507.9,507.2,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1,10,4,10,209.4395842967094,0.1240645777605547,-1.0018103388811537,0.1240645777605547,0.8759354222394452,4.381735731732696e-06,4.993240323236881e-06,0.0008887318911499,True,0.8759354222394452,0.1240645777605547,-1.0018103388811537,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.7518708444788905,1.0018103388811537,0.51110506,0.5367531962546326,0.50250983
