n_trades,win_rate,total_pnl,avg_pnl,profit_factor,sharpe,cagr,mdd,mar,profit_loss_ratio,stage3_threshold
147,54.421768707483,687041.916749981,4673.754535714156,1.087314881912878,0.4162741479826567,6.836563195838119,2680063.753499996,0.25508957340697563,0.9106262136020353,2000
109,54.12844036697248,2136948.1717499946,19605.029098623803,1.4135651907396956,1.8104476357022412,21.257449820409448,1113379.4385000002,1.9092727138062235,1.197936602321776,4000
79,56.9620253164557,2366537.386499991,29956.16944936698,1.6767775106069502,2.5547909450916926,23.54018279006884,699661.1317500044,3.3645120075756862,1.2668985635696957,6000
57,56.14035087719298,2671520.717249992,46868.78451315775,2.175251619329673,3.6255289833824818,29.96090196129666,415975.502249999,7.202564045055308,1.699415327601307,8000
48,52.083333333333336,2308666.153499995,48097.21153124989,2.0881514937056913,3.41017283915933,26.385190775885903,510261.1132499967,5.170919376519052,1.9210993742092362,10000
40,57.49999999999999,2639534.6092499895,65988.36523124974,2.8582509332391495,4.432694282149578,30.22157911475496,385672.21875,7.836078837284662,2.1126202550028492,12000
31,54.83870967741935,1991352.1792499975,64237.16707258057,2.894505868118113,3.8026701396901377,23.032715232156733,395218.71899999864,5.827840161628783,2.3837107149207992,14000
