entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma5,entry_ma10,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,atr_normalized,volatility_regime,trend_regime,momentum_regime,is_win,entry_hour,entry_dayofweek,entry_month,ret_log_5m_kde_pdf,ret_log_5m_kde_cdf,ret_log_5m_kde_zscore,ret_log_5m_kde_left_tail,ret_log_5m_kde_right_tail,ret_log_5m_kde_median,ret_log_5m_kde_mean,ret_log_5m_kde_std,ret_log_5m_kde_ready,kde_aligned_tail_5m,kde_opposite_tail_5m,kde_aligned_zscore_5m,rsi_oversold,rsi_overbought,macd_bullish,macd_strength,price_above_ma20,price_above_ma60,price_above_ma5,price_above_ma10,bb_position,bb_lower_touch,price_above_st,is_morning,is_afternoon,is_bull,is_neutral,is_bear,kde_tail_spread,kde_zscore_abs,filter_score,entry_score,exit_score
2025-02-19 14:40:00,2025-02-19 15:45:00,-1,354.1,353.75,eod,0.3500000000000227,0.1212355,0.02876450000002273,906.081750000716,1.0,2025-02-19,353.6,354.15,353.6,0.0,353.75,353.75,353.75,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,14,2,2,67.97956410327097,0.0346738909678441,-1.6958337344849723,0.0346738909678441,0.965326109032156,2.756228228731881e-05,3.3185159666847874e-05,0.0008528038360292,True,0.965326109032156,0.0346738909678441,-1.6958337344849723,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,0.9306522180643119,1.6958337344849723,0.8028814,0.5161776852992686,0.5257951
2025-02-24 11:10:00,2025-02-24 15:45:00,1,346.9,347.5,eod,0.6000000000000227,0.120832,0.27916800000002273,8793.792000000716,1.0,2025-02-24,347.3,347.35,346.8,0.0,347.5,347.5,347.5,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,11,0,2,173.39314497233852,0.9112237568225152,1.191915965651225,0.9112237568225152,0.0887762431774847,1.71406813318272e-05,3.127260894742767e-05,0.0008196968776983,True,0.9112237568225152,0.0887762431774847,-1.191915965651225,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.8224475136450305,1.191915965651225,0.7999867,0.4569888818876775,0.54808784
2025-02-27 10:40:00,2025-02-27 10:55:00,-1,346.95,346.25,pivot,0.6999999999999886,0.120796,0.3792039999999887,11944.925999999645,1.0,2025-02-27,346.4,347.1,346.3,0.0,345.9,346.35,345.85,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,3,2,62.20741095423312,0.0253213230634392,-1.8937053553074472,0.0253213230634392,0.9746786769365609,1.816823557373071e-05,3.537701632893986e-05,0.0007803507021888,True,0.9746786769365609,0.0253213230634392,-1.8937053553074472,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9493573538731217,1.8937053553074472,0.8190191,0.4417909086983814,0.5359594
2025-02-27 10:55:00,2025-02-27 11:45:00,-1,346.25,346.1,pivot,0.1499999999999772,0.1207705,-0.17077050000002275,-5379.270750000716,1.0,2025-02-27,345.9,346.35,345.85,0.0,345.75,346.15,345.65,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,3,2,144.34736201536833,0.0676677834616309,-1.3413437981387637,0.0676677834616309,0.9323322165383692,1.816823557373071e-05,3.537701632893986e-05,0.0007803507021888,True,0.9323322165383692,0.0676677834616309,-1.3413437981387637,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.8646644330767382,1.3413437981387637,0.73511684,0.4954856530866792,0.5425525
2025-02-27 15:25:00,2025-02-27 15:45:00,1,346.45,346.55,eod,0.1000000000000227,0.12079,-0.22078999999997725,-6954.8849999992835,1.0,2025-02-27,346.75,346.8,346.35,0.0,346.55,346.55,346.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,15,3,2,216.56127462690029,0.8922450675070611,1.0736356363914112,0.8922450675070611,0.1077549324929388,1.1762666547147013e-05,3.190928356896543e-05,0.0007764662514218,True,0.8922450675070611,0.1077549324929388,-1.0736356363914112,1,0,0,0.0,1,1,1,1,,0,1,0,0,1,0,0,0.7844901350141223,1.0736356363914112,0.7521998,0.41377495886173404,0.5334528
2025-02-28 08:45:00,2025-02-28 10:35:00,1,342.0,336.8,pivot,-5.199999999999989,0.120364,-5.520363999999989,-173891.46599999967,1.0,2025-02-28,340.5,342.05,340.2,0.0,337.2,337.35,336.7,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,8,4,2,,,,,,,,,False,,,,1,0,0,0.0,1,1,1,1,,0,1,0,0,0,1,0,,,0.701651,0.5827559671755407,0.5151021
2025-02-28 14:05:00,2025-02-28 14:55:00,-1,334.6,334.55,pivot,0.0500000000000113,0.1200745,-0.27007449999998867,-8507.346749999642,1.0,2025-02-28,334.35,334.7,334.3,0.0,334.0,334.55,333.95,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,14,4,2,256.31394389636546,0.1284458554129663,-0.9732169703064985,0.1284458554129663,0.8715541445870336,1.1554875055237245e-05,2.6629442435870508e-05,0.0007953719661589,True,0.8715541445870336,0.1284458554129663,-0.9732169703064985,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,0.7431082891740673,0.9732169703064985,0.7130106,0.5310434239207281,0.5796621
2025-03-04 10:30:00,2025-03-04 10:50:00,-1,333.65,333.65,pivot,-0.0,0.120019,-0.320019,-10080.5985,1.0,2025-03-04,333.0,333.9,332.8,0.0,334.1,334.15,333.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,1,3,8.641878209347675,0.0095325346368887,-2.673623549481857,0.0095325346368887,0.9904674653631113,1.1554875055237245e-05,2.6629442435870508e-05,0.0007953719661589,True,0.9904674653631113,0.0095325346368887,-2.673623549481857,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9809349307262225,2.673623549481857,0.9081473,0.7432993722204894,0.610376
2025-03-05 13:10:00,2025-03-05 13:55:00,1,336.65,336.35,pivot,-0.2999999999999545,0.12019,-0.6201899999999545,-19535.984999998567,1.0,2025-03-05,336.9,336.95,336.55,0.0,336.6,336.6,336.25,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,13,2,3,202.1816867477975,0.8908724549467101,1.0713347461574725,0.8908724549467101,0.1091275450532899,-9.177598006370748e-07,1.779145191323466e-05,0.0008149434217639,True,0.8908724549467101,0.1091275450532899,-1.0713347461574725,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,0.7817449098934202,1.0713347461574725,0.7666455,0.4114778962685344,0.6188456
2025-03-07 13:05:00,2025-03-07 14:15:00,1,338.7,338.95,pivot,0.25,0.1203295,-0.0703295,-2215.37925,1.0,2025-03-07,339.0,339.25,338.7,0.0,339.2,339.2,338.95,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,13,4,3,160.72818329440872,0.912280310828615,1.1682152682586922,0.912280310828615,0.0877196891713849,4.486270124810861e-06,2.43200788046304e-05,0.000863421039032,True,0.912280310828615,0.0877196891713849,-1.1682152682586922,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,0.8245606216572301,1.1682152682586922,0.74912095,0.40384389195586773,0.6066996
