entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability,entry_quality_score,atr_stop_loss,atr_take_profit
2019-06-03 11:10:00,2019-06-03 15:45:00,1,266.0,268.25,eod,2.25,0.1160275,2.1339725,67220.13375000001,1.0,2019-06-03,265.95,266.05,265.95,0.0,268.25,268.25,268.25,0.0,0.0,2019,50.76923076923093,0.4637055092577498,0.5260816258533926,-0.0623761165956427,0.3250000000000049,267.1625,1.0,265.8525,,266.63283393661413,265.0721660633859,265.8525,1,11,0,6,0.7172199,0.8928306138306138,0.48750000000000737,1.137500000000017
2019-06-10 10:15:00,2019-06-10 15:45:00,1,269.15,272.1,eod,2.950000000000045,0.1162375,2.833762500000045,89263.51875000143,1.0,2019-06-10,269.1,269.25,269.0,0.0,272.1,272.1,272.1,0.0,1.0,2019,25.423728813560373,0.2360622811842745,0.3368464766102403,-0.1007841954259658,0.3214285714285795,265.8339285714286,-1.0,269.475,268.9766666666667,271.2654718578321,267.68452814216795,269.475,1,10,0,6,0.8144968,0.9280999972249973,0.48214285714286925,1.1250000000000282
2019-06-17 10:50:00,2019-06-17 12:35:00,1,271.5,269.9,eod,-1.6000000000000227,0.116242,-1.7162420000000227,-54061.62300000071,1.0,2019-06-17,271.35,271.6,271.2,0.0,269.9,269.95,269.8,0.0,1.0,2019,68.88888888888843,0.3727488654371313,0.2643128617535393,0.108436003683592,0.3250000000000008,274.8142857142857,1.0,270.5975,270.3041666666667,271.88855220246046,269.3064477975395,270.5975,0,10,0,6,0.6530466,0.7503764201484787,0.48750000000000115,1.1375000000000028
2019-07-19 09:15:00,2019-07-19 15:45:00,1,273.55,275.15,eod,1.599999999999966,0.116461,1.483538999999966,46731.47849999893,1.0,2019-07-19,273.25,273.6,273.2,0.0,275.15,275.15,275.15,0.0,1.0,2019,75.60975609756181,0.5110185955367683,0.2436303025982286,0.2673882929385397,0.4035714285714228,275.4464285714286,1.0,271.5825,271.2183333333333,273.48603549178176,269.6789645082182,271.5825,1,9,4,7,0.7127741,0.9176361416361414,0.6053571428571343,1.4124999999999799
2019-08-20 11:55:00,2019-08-20 15:45:00,1,256.6,258.0,eod,1.3999999999999773,0.115438,1.2845619999999771,40463.70299999929,1.0,2019-08-20,256.9,257.0,256.55,0.0,258.0,258.0,258.0,0.0,1.0,2019,80.39215686274497,0.3448881946900428,0.2702500213621406,0.0746381733279022,0.2857142857142897,250.01071428571427,-1.0,255.98999999999995,255.4983333333333,257.038608100116,254.9413918998839,255.98999999999995,1,11,1,8,0.87088543,0.9413730991230992,0.42857142857143454,1.000000000000014
2019-09-04 15:10:00,2019-09-04 15:45:00,1,260.6,261.9,eod,1.2999999999999543,0.115675,1.1843249999999546,37306.23749999857,1.0,2019-09-04,261.3,261.55,260.55,0.0,261.9,261.9,261.9,0.0,1.0,2019,81.48148148148141,0.3566677711929173,0.1977446357960529,0.1589231353968644,0.3214285714285673,250.01071428571427,-1.0,259.70000000000005,259.3975,260.7021030518506,258.6978969481495,259.70000000000005,1,15,2,9,0.7122549,0.9623964923964924,0.48214285714285093,1.1249999999999856
2019-09-24 11:50:00,2019-09-24 15:45:00,1,277.0,278.25,eod,1.25,0.1166575,1.1333425,35700.28875,1.0,2019-09-24,276.95,277.1,276.9,0.0,278.25,278.25,278.25,0.0,1.0,2019,77.77777777777732,0.1497861618321394,0.0855280832716382,0.0642580785605012,0.2285714285714359,277.4660714285714,1.0,276.5925,276.5208333333333,277.24322833678457,275.9417716632154,276.5925,1,11,1,9,0.7312981,0.908295732045732,0.34285714285715385,0.8000000000000256
2019-10-22 09:20:00,2019-10-22 15:45:00,1,276.1,278.2,eod,2.099999999999966,0.116629,1.9833709999999656,62476.18649999892,1.0,2019-10-22,276.75,276.85,276.1,0.0,278.2,278.2,278.2,0.0,1.0,2019,90.76923076923184,0.467880993451331,0.2293885897828017,0.2384924036685293,0.3928571428571307,272.575,-1.0,274.7675,274.5366666666667,276.40240704706696,273.132592952933,274.7675,1,9,1,10,0.7606422,0.9587632367632366,0.589285714285696,1.3749999999999574
2020-01-07 09:15:00,2020-01-07 15:45:00,1,290.55,292.4,eod,1.849999999999966,0.1174885,1.7325114999999658,54574.11224999892,1.0,2020-01-07,290.95,291.0,290.5,0.0,292.4,292.4,292.4,0.0,1.0,2020,70.88607594936715,0.3302633383765396,0.1278286854260772,0.2024346529504624,0.4642857142857102,296.2553571428571,1.0,289.505,289.21583333333336,290.89060266196884,288.11939733803115,289.505,1,9,1,1,0.6617215,0.954345238095238,0.6964285714285653,1.6249999999999858
2020-01-22 12:05:00,2020-01-22 15:45:00,1,305.05,306.75,eod,1.6999999999999886,0.118354,1.5816459999999886,49821.84899999964,1.0,2020-01-22,305.1,305.1,304.8,0.0,306.75,306.75,306.75,0.0,1.0,2020,87.99999999999982,0.4395890893501928,0.3441420773001336,0.0954470120500591,0.3535714285714358,308.29821428571427,1.0,304.14,303.49083333333334,305.5824394541942,302.6975605458058,304.14,1,12,2,1,0.7982841,0.9105861360861364,0.5303571428571537,1.2375000000000254
