entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma5,entry_ma10,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,atr_normalized,volatility_regime,trend_regime,momentum_regime,is_win,entry_hour,entry_dayofweek,entry_month,ret_log_5m_kde_pdf,ret_log_5m_kde_cdf,ret_log_5m_kde_zscore,ret_log_5m_kde_left_tail,ret_log_5m_kde_right_tail,ret_log_5m_kde_median,ret_log_5m_kde_mean,ret_log_5m_kde_std,ret_log_5m_kde_ready,ret_log_15m_kde_pdf,ret_log_15m_kde_cdf,ret_log_15m_kde_zscore,ret_log_15m_kde_left_tail,ret_log_15m_kde_right_tail,ret_log_15m_kde_median,ret_log_15m_kde_mean,ret_log_15m_kde_std,ret_log_15m_kde_ready,ret_log_30m_kde_pdf,ret_log_30m_kde_cdf,ret_log_30m_kde_zscore,ret_log_30m_kde_left_tail,ret_log_30m_kde_right_tail,ret_log_30m_kde_median,ret_log_30m_kde_mean,ret_log_30m_kde_std,ret_log_30m_kde_ready,ret_log_60m_kde_pdf,ret_log_60m_kde_cdf,ret_log_60m_kde_zscore,ret_log_60m_kde_left_tail,ret_log_60m_kde_right_tail,ret_log_60m_kde_median,ret_log_60m_kde_mean,ret_log_60m_kde_std,ret_log_60m_kde_ready,kde_aligned_tail_5m,kde_opposite_tail_5m,kde_aligned_zscore_5m,kde_aligned_tail_15m,kde_opposite_tail_15m,kde_aligned_zscore_15m,kde_aligned_tail_30m,kde_opposite_tail_30m,kde_aligned_zscore_30m,kde_aligned_tail_60m,kde_opposite_tail_60m,kde_aligned_zscore_60m,rsi_oversold,rsi_overbought,macd_bullish,macd_strength,price_above_ma20,price_above_ma60,price_above_ma5,price_above_ma10,bb_position,bb_lower_touch,price_above_st,is_morning,is_afternoon,is_bull,is_neutral,is_bear,price_ma20_ratio,price_ma60_ratio,bb_width,atr_ratio,rsi_macd_interaction,rsi_bb_interaction,kde_tail_spread_5m,kde_zscore_abs_5m,kde_tail_spread_15m,kde_zscore_abs_15m,kde_tail_spread_30m,kde_zscore_abs_30m,kde_tail_spread_60m,kde_zscore_abs_60m,filter_score,entry_score,exit_score
2025-04-03 10:35:00,2025-04-03 11:15:00,-1,329.9,331.75,pivot,-1.8500000000000227,0.1198495,-2.1698495000000233,-68350.25925000073,1.0,2025-04-03,330.1,330.15,329.35,0.0,331.65,332.05,331.6,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,10,3,4,14.747608330697796,0.0141013275554535,-2.6800245630183497,0.0141013275554535,0.9858986724445464,-8.156214668391724e-05,-5.317825987366866e-05,0.0009947135129751,True,2.7386290838510754,0.0007257965545166,-3.2519742774720397,0.0007257965545166,0.9992742034454832,-0.0002537327344667,-0.0001941156457482,0.0016102775161943,True,203.12549901417043,0.4048887220725128,-0.2111953929146989,0.4048887220725128,0.5951112779274872,-0.0004582939045825,-0.0004380758457581,0.0022211224698099,True,59.14344735109013,0.8918058150588558,1.1321880434469385,0.8918058150588558,0.1081941849411441,-0.0009195507718163,-0.0009589245981069,0.002987195280718,True,0.9858986724445464,0.0141013275554535,-2.6800245630183497,0.9992742034454832,0.0007257965545166,-3.2519742774720397,0.5951112779274872,0.4048887220725128,-0.2111953929146989,0.1081941849411441,0.8918058150588558,1.1321880434469385,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,1.0,1.0,0.0,0.0,0.0,,0.971797344889093,2.6800245630183497,0.9985484068909667,3.2519742774720397,0.19022255585497438,0.2111953929146989,-0.7836116301177117,1.1321880434469385,0.5068181,0.5353240586719856,0.52990794
2025-04-04 08:45:00,2025-04-04 10:30:00,1,327.0,331.7,pivot,4.699999999999989,0.119761,4.380238999999989,137977.52849999964,1.0,2025-04-04,327.45,327.75,326.15,0.0,331.4,331.75,331.25,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,8,4,4,566.0865304586215,0.6143800405902731,0.23239690331531,0.6143800405902731,0.3856199594097269,-4.593300030381269e-05,-6.432975939286195e-05,0.0009241183941401,True,206.7403647880896,0.8196174830486755,0.7153831311061519,0.8196174830486755,0.1803825169513244,-0.0002038870441917,-0.0002570584307353,0.0016214989966757,True,41.173271702547474,0.9560091623867664,1.627713031215382,0.9560091623867664,0.0439908376132335,-0.0004584925165251,-0.0005365031347684,0.0017173605487507,True,191.21866115525543,0.705049094054545,0.5362331344383615,0.705049094054545,0.294950905945455,-0.0009864912089664,-0.0010509754693413,0.0019599226564805,True,0.6143800405902731,0.3856199594097269,-0.23239690331531,0.8196174830486755,0.1803825169513244,-0.7153831311061519,0.9560091623867664,0.0439908376132335,-1.627713031215382,0.705049094054545,0.294950905945455,-0.5362331344383615,1,0,0,0.0,1,1,1,1,,0,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,,0.2287600811805462,0.23239690331531,0.6392349660973511,0.7153831311061519,0.9120183247735328,1.627713031215382,0.41009818810909,0.5362331344383615,0.58957326,0.6218286060250207,0.5410085
2025-04-04 11:35:00,2025-04-04 12:00:00,-1,330.0,328.95,pivot,1.0500000000000114,0.1197685,0.7302315000000114,23002.29225000036,1.0,2025-04-04,330.6,331.4,329.75,0.0,327.75,328.95,327.65,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,11,4,4,32.75023973864506,0.0224587547416131,-1.8958000193319655,0.0224587547416131,0.9775412452583868,5.503065861684044e-05,4.434011729106463e-05,0.0011414427933394,True,5.438471381313573e-09,0.0,-8.295333804128768,0.0,1.0,0.000157300073401,0.0001117992331754,0.0019527536254617,True,0.8776224199824847,0.0025077867205542,-3.1600661223161155,0.0025077867205542,0.9974922132794456,0.0002736588773328,0.0001020352813345,0.0028969652132051,True,35.30303014520461,0.0754774587792319,-1.3258688166646937,0.0754774587792319,0.924522541220768,0.0003172391729799,-5.324589238314015e-05,0.0039501433164564,True,0.9775412452583868,0.0224587547416131,-1.8958000193319655,1.0,0.0,-8.295333804128768,0.9974922132794456,0.0025077867205542,-3.1600661223161155,0.924522541220768,0.0754774587792319,-1.3258688166646937,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,1.0,1.0,0.0,0.0,0.0,,0.9550824905167737,1.8958000193319655,1.0,8.295333804128768,0.9949844265588914,3.1600661223161155,0.8490450824415361,1.3258688166646937,0.57667905,0.5558249734505857,0.5306563
2025-04-07 12:20:00,2025-04-07 13:05:00,-1,312.5,312.85,pivot,-0.3500000000000227,0.1187605,-0.6687605000000226,-21065.955750000714,1.0,2025-04-07,312.4,312.8,312.25,0.0,312.25,313.05,312.25,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,12,0,4,147.4914221883084,0.0847620129182757,-1.183345542926605,0.0847620129182757,0.9152379870817242,-9.946471622929608e-05,-4.214140737403917e-05,0.0010446842586089,True,153.99048058884432,0.1768000867525691,-0.8167233424637081,0.1768000867525691,0.8231999132474309,-0.0002263499889337,-0.0001458040501609,0.0017777079791936,True,148.59354078732096,0.2538353401274887,-0.5527239236451631,0.2538353401274887,0.7461646598725113,-0.0004326140300761,-0.0003861761145971,0.0024807198297884,True,23.556902284066165,0.0399994678463655,-1.5727985423285895,0.0399994678463655,0.9600005321536343,-0.0008818878399266,-0.0009089275875668,0.003475722968884,True,0.9152379870817242,0.0847620129182757,-1.183345542926605,0.8231999132474309,0.1768000867525691,-0.8167233424637081,0.7461646598725113,0.2538353401274887,-0.5527239236451631,0.9600005321536343,0.0399994678463655,-1.5727985423285895,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,,0.8304759741634485,1.183345542926605,0.6463998264948618,0.8167233424637081,0.49232931974502264,0.5527239236451631,0.9200010643072688,1.5727985423285895,0.5320637,0.5359237926434539,0.5489643
2025-04-08 10:50:00,2025-04-08 11:20:00,-1,314.35,315.0,pivot,-0.6499999999999773,0.1188805,-0.9688804999999773,-30519.735749999283,1.0,2025-04-08,314.8,315.0,313.95,0.0,314.45,315.0,314.15,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,1,4,180.29894471650783,0.9132221268689332,1.2741584503352603,0.9132221268689332,0.0867778731310667,5.5687421950526417e-05,7.676961012414787e-05,0.0008124074626385,True,171.75686425580628,0.8279096752877011,0.7847142488616028,0.8279096752877011,0.1720903247122989,0.0001528367421281,0.0002579116996954,0.0014934203494422,True,4.785109716530122,0.9909884949976476,3.536406195326165,0.9909884949976476,0.0090115050023524,0.0003426913397749,0.000572187217824,0.0022728044801667,True,30.619311353065918,0.9028922920466524,1.119531238251315,0.9028922920466524,0.0971077079533476,0.0009221748836303,0.001394201681887,0.0035890919990311,True,0.0867778731310667,0.9132221268689332,1.2741584503352603,0.1720903247122989,0.8279096752877011,0.7847142488616028,0.0090115050023524,0.9909884949976476,3.536406195326165,0.0971077079533476,0.9028922920466524,1.119531238251315,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,1.0,1.0,0.0,0.0,0.0,,-0.8264442537378666,1.2741584503352603,-0.6558193505754022,0.7847142488616028,-0.9819769899952953,3.536406195326165,-0.8057845840933049,1.119531238251315,0.5918325,0.5459031680387406,0.5596031
2025-04-08 13:40:00,2025-04-08 14:05:00,1,309.2,310.8,pivot,1.6000000000000227,0.1186,1.2814000000000225,40364.10000000071,1.0,2025-04-08,309.75,309.85,309.2,0.0,310.05,310.85,309.85,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,13,1,4,16.608374241847308,0.009989340828554,-2.7378130667696605,0.009989340828554,0.990010659171446,-9.946471622929608e-05,-4.214140737403917e-05,0.0010446842586089,True,38.68312009342124,0.0420911918712707,-1.6411465294087688,0.0420911918712707,0.9579088081287292,-0.0002263499889337,-0.0001458040501609,0.0017777079791936,True,43.7847749656291,0.06387440652473,-1.4034947336139303,0.06387440652473,0.93612559347527,-0.0004326140300761,-0.0003861761145971,0.0024807198297884,True,20.327052885777317,0.0350369656509798,-1.6369635476102191,0.0350369656509798,0.9649630343490202,-0.0008818878399266,-0.0009089275875668,0.003475722968884,True,0.009989340828554,0.990010659171446,2.7378130667696605,0.0420911918712707,0.9579088081287292,1.6411465294087688,0.06387440652473,0.93612559347527,1.4034947336139303,0.0350369656509798,0.9649630343490202,1.6369635476102191,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,,-0.9800213183428921,2.7378130667696605,-0.9158176162574585,1.6411465294087688,-0.87225118695054,1.4034947336139303,-0.9299260686980404,1.6369635476102191,0.5696235,0.5176113195932881,0.5870583
2025-04-08 14:10:00,2025-04-08 14:40:00,-1,310.1,310.45,pivot,-0.3499999999999659,0.1186165,-0.6686164999999659,-21061.419749998924,1.0,2025-04-08,309.6,310.15,309.45,0.0,309.65,310.65,309.5,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,14,1,4,508.72296525243775,0.3434980879306412,-0.2948885580525141,0.3434980879306412,0.6565019120693588,-3.978241350991579e-05,-4.614792159475555e-05,0.0009345984962979,True,35.24698429271652,0.9624370349747312,1.6009990043158815,0.9624370349747312,0.0375629650252689,-0.0001732827138329,-0.0002192561183051,0.0016462777446011,True,17.448946161768013,0.9860224470973048,2.235710636398889,0.9860224470973048,0.0139775529026952,-0.00042033342205,-0.000523777901773,0.0018203969879926,True,210.7856603680093,0.6198290704187969,0.3272054174499857,0.6198290704187969,0.3801709295812031,-0.0008921636404812,-0.0009954807341013,0.002059044177281,True,0.6565019120693588,0.3434980879306412,-0.2948885580525141,0.0375629650252689,0.9624370349747312,1.6009990043158815,0.0139775529026952,0.9860224470973048,2.235710636398889,0.3801709295812031,0.6198290704187969,0.3272054174499857,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,,0.31300382413871763,0.2948885580525141,-0.9248740699494623,1.6009990043158815,-0.9720448941946096,2.235710636398889,-0.2396581408375938,0.3272054174499857,0.53402257,0.555538623123453,0.6144037
2025-04-08 14:40:00,2025-04-08 15:30:00,1,310.45,310.2,pivot,-0.25,0.1186195,-0.5686195,-17911.51425,1.0,2025-04-08,309.65,310.65,309.5,0.0,311.1,311.1,310.15,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,14,1,4,3.7799176185656185,0.9984384186946502,3.5059403852866917,0.9984384186946502,0.0015615813053497,-3.978241350991579e-05,-4.614792159475555e-05,0.0009345984962979,True,112.0318353398086,0.8996368835666183,1.015435702816376,0.8996368835666183,0.1003631164333817,-0.0001732827138329,-0.0002192561183051,0.0016462777446011,True,100.57286290372514,0.1324392292059649,-0.9510989660939994,0.1324392292059649,0.8675607707940352,-0.00042033342205,-0.000523777901773,0.0018203969879926,True,103.3141822837092,0.8793121601870164,1.1104318067315972,0.8793121601870164,0.1206878398129835,-0.0008921636404812,-0.0009954807341013,0.002059044177281,True,0.9984384186946502,0.0015615813053497,-3.5059403852866917,0.8996368835666183,0.1003631164333817,-1.015435702816376,0.1324392292059649,0.8675607707940352,0.9510989660939994,0.8793121601870164,0.1206878398129835,-1.1104318067315972,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,,0.9968768373893006,3.5059403852866917,0.7992737671332366,1.015435702816376,-0.7351215415880703,0.9510989660939994,0.7586243203740329,1.1104318067315972,0.5283872,0.6269837630219188,0.6777415
2025-04-10 10:50:00,2025-04-10 11:15:00,-1,320.85,321.85,pivot,-1.0,0.119281,-1.319281,-41557.3515,1.0,2025-04-10,321.3,321.4,320.75,0.0,322.65,322.7,321.8,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,3,4,456.4916558871388,0.7259850957892984,0.4813676310266221,0.7259850957892984,0.2740149042107016,5.5687421950526417e-05,7.676961012414787e-05,0.0008124074626385,True,284.1147873315253,0.6435775587793726,0.2450205254170962,0.6435775587793726,0.3564224412206274,0.0001528367421281,0.0002579116996954,0.0014934203494422,True,135.9403922068967,0.7681092337434723,0.5721884644350745,0.7681092337434723,0.2318907662565277,0.0003426913397749,0.000572187217824,0.0022728044801667,True,111.28225741696252,0.6949589060045691,0.3074476948620666,0.6949589060045691,0.3050410939954309,0.0009221748836303,0.001394201681887,0.0035890919990311,True,0.2740149042107016,0.7259850957892984,0.4813676310266221,0.3564224412206274,0.6435775587793726,0.2450205254170962,0.2318907662565277,0.7681092337434723,0.5721884644350745,0.3050410939954309,0.6949589060045691,0.3074476948620666,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,1.0,1.0,0.0,0.0,0.0,,-0.45197019157859675,0.4813676310266221,-0.28715511755874523,0.2450205254170962,-0.5362184674869446,0.5721884644350745,-0.3899178120091382,0.3074476948620666,0.52418905,0.5526232233286035,0.694554
2025-04-14 10:55:00,2025-04-14 12:10:00,1,325.45,325.5,pivot,0.0500000000000113,0.1195285,-0.2695284999999886,-8490.147749999642,1.0,2025-04-14,325.2,325.5,325.15,0.0,325.5,325.6,325.4,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,0,4,520.0525554504667,0.6344208183853806,0.2326301691492066,0.6344208183853806,0.3655791816146194,6.224950246708337e-05,8.733545638269742e-05,0.0009458182060118,True,240.6835439530407,0.2216002402285351,-0.640143307597417,0.2216002402285351,0.7783997597714648,0.0001898933861721,0.0002887713780214,0.0016508203287492,True,212.88921147412316,0.378245476509656,-0.3319212069535096,0.378245476509656,0.6217545234903439,0.0004256021591527,0.0006498508571397,0.0024207434588872,True,133.88690897832154,0.4721573566548991,-0.151495756789425,0.4721573566548991,0.5278426433451009,0.0009780651547447,0.0012946769817782,0.003472681500465,True,0.6344208183853806,0.3655791816146194,-0.2326301691492066,0.2216002402285351,0.7783997597714648,0.640143307597417,0.378245476509656,0.6217545234903439,0.3319212069535096,0.4721573566548991,0.5278426433451009,0.151495756789425,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,1.0,1.0,0.0,0.0,0.0,,0.26884163677076117,0.2326301691492066,-0.5567995195429297,0.640143307597417,-0.24350904698068787,0.3319212069535096,-0.055685286690201785,0.151495756789425,0.56404084,0.5378402275449171,0.69341743
