entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability,entry_quality_score,net_krw_optimal
2020-04-10 11:55:00,2020-04-10 15:45:00,1,244.1,247.1,eod,3.0,0.114736,2.885264,90885.816,1.0,2020-04-10,244.2,244.3,244.0,0.0,247.1,247.1,247.1,0.0,1.0,2020,38.09523809523806,-0.2017856469618095,-0.1410861508215985,-0.060699496140211,0.5500000000000013,308.29821428571427,1.0,244.635,244.45916666666665,246.05815439076449,243.2118456092355,244.635,1,11,4,4,0.88262767,0.9744119769119768,90885.81599999999
2020-04-22 13:00:00,2020-04-22 14:50:00,1,245.95,248.85,pivot,2.9000000000000057,0.114844,2.785156000000005,87732.41400000018,1.0,2020-04-22,246.25,246.3,245.75,0.0,249.65,249.65,248.8,0.0,1.0,2020,58.46153846153879,0.2396663351822781,0.2533990191175981,-0.01373268393532,0.4571428571428576,308.29821428571427,1.0,245.975,245.6408333333333,246.75737156267428,245.1926284373257,245.975,1,13,2,4,0.7990931,0.9584335386835388,87732.41400000016
2020-04-27 10:30:00,2020-04-27 15:45:00,1,251.9,254.55,eod,2.6500000000000057,0.1151935,2.534806500000005,79846.40475000018,1.0,2020-04-27,252.25,252.45,251.8,0.0,254.55,254.55,254.55,0.0,1.0,2020,70.27027027027033,0.5350315740178644,0.4215693156250693,0.113462258392795,0.5464285714285718,308.29821428571427,1.0,250.96750000000003,250.27333333333337,252.52728237317905,249.40771762682104,250.96750000000003,1,10,0,4,0.8777006,0.9535036491286492,79846.40475000016
2020-05-06 10:45:00,2020-05-06 15:45:00,1,252.05,255.2,eod,3.1499999999999773,0.1152175,3.0347824999999773,95595.64874999928,1.0,2020-05-06,251.9,252.35,251.9,0.0,255.2,255.2,255.2,0.0,1.0,2020,42.49999999999991,0.1758829613793864,0.1098845388992878,0.0659984224800986,0.5571428571428539,308.29821428571427,1.0,251.695,251.43,252.9788675120636,250.41113248793644,251.695,1,10,2,5,0.65736866,0.9894642857142856,95595.64874999928
2020-05-18 09:15:00,2020-05-18 13:05:00,1,253.05,255.85,pivot,2.799999999999983,0.115267,2.6847329999999827,84569.08949999945,1.0,2020-05-18,252.9,253.25,252.9,0.0,255.45,255.85,255.35,0.0,1.0,2020,34.0425531914899,-0.0929191143649461,0.0047256729206125,-0.0976447872855587,0.4642857142857143,308.29821428571427,1.0,253.6175,253.3358333333333,254.1834412273415,253.05155877265847,253.6175,1,9,0,5,0.9021328,0.96578373015873,84569.08949999945
2020-06-01 09:15:00,2020-06-01 14:30:00,1,269.85,272.45,pivot,2.599999999999966,0.116269,2.483730999999966,78237.52649999893,1.0,2020-06-01,270.35,270.6,269.85,0.0,272.55,272.7,272.4,0.0,1.0,2020,58.82352941176482,0.4711215092289649,0.314999871342514,0.1561216378864508,0.7857142857142857,308.29821428571427,1.0,268.7275,267.65083333333337,270.47813146486965,266.9768685351304,268.7275,1,9,0,6,0.6385165,0.9133349567099566,78237.52649999893
2020-07-30 09:20:00,2020-07-30 13:05:00,1,303.5,302.4,pivot,-1.1000000000000227,0.118177,-1.2181770000000227,-38372.57550000071,1.0,2020-07-30,303.75,303.75,303.25,0.0,302.55,302.65,302.35,0.0,1.0,2020,81.33333333333363,0.6399664833703582,0.3670574748597844,0.2729090085105738,0.5071428571428628,304.2607142857143,1.0,301.7325,301.26666666666665,303.6467883796658,299.8182116203341,301.7325,0,9,3,7,0.6121118,0.8185641025641023,-38372.57550000071
2020-08-21 11:15:00,2020-08-21 15:45:00,1,304.55,306.95,eod,2.3999999999999773,0.118345,2.281654999999977,71872.13249999928,1.0,2020-08-21,304.5,304.6,304.35,0.0,306.95,306.95,306.95,0.0,1.0,2020,43.36283185840705,0.0726901265293804,0.1718500391243214,-0.099159912594941,0.6892857142857208,300.3553571428571,-1.0,304.87,303.9216666666667,306.0471508871497,303.6928491128503,304.87,1,11,4,8,0.7939856,0.9883035714285714,71872.13249999928
2020-08-25 09:25:00,2020-08-25 15:45:00,1,311.85,314.25,eod,2.3999999999999773,0.118783,2.281216999999977,71858.33549999929,1.0,2020-08-25,311.55,311.95,311.3,0.0,314.25,314.25,314.25,0.0,1.0,2020,78.4313725490195,0.7698156693180636,0.5196347345429639,0.2501809347750996,0.7464285714285666,300.3553571428571,-1.0,309.6575,309.17833333333334,312.3629088125396,306.9520911874603,309.6575,1,9,1,8,0.78728396,0.8527132520257521,71858.33549999929
2020-11-05 10:40:00,2020-11-05 15:45:00,1,318.35,320.9,eod,2.5499999999999545,0.1191775,2.4308224999999544,76570.90874999856,1.0,2020-11-05,318.7,318.75,318.35,0.0,320.9,320.9,320.9,0.0,1.0,2020,53.96825396825414,0.8786607214099149,1.0184961774687775,-0.1398354560588626,0.442857142857142,320.0571428571428,1.0,318.4775,315.6508333333333,319.44729379332034,317.5077062066797,318.4775,1,10,3,11,0.87424606,0.8911267882444354,76570.90874999856
2020-11-11 09:15:00,2020-11-11 15:45:00,1,327.95,331.25,eod,3.300000000000012,0.119776,3.1802240000000115,100177.05600000036,1.0,2020-11-11,328.25,328.4,327.95,0.0,331.25,331.25,331.25,0.0,1.0,2020,80.28169014084418,0.5353230312244932,0.3102950276509985,0.2250280035734947,0.432142857142862,328.9714285714286,1.0,326.37749999999994,325.7316666666667,327.881345947493,324.8736540525069,326.37749999999994,1,9,2,11,0.7261892,0.9395088485860544,100177.05600000036
2020-11-16 10:05:00,2020-11-16 15:45:00,1,337.75,340.1,eod,2.3500000000000227,0.1203355,2.229664500000023,70234.43175000072,1.0,2020-11-16,338.6,338.7,337.7,0.0,340.1,340.1,340.1,0.0,1.0,2020,79.89130434782594,1.5127188000840306,1.5018384197696482,0.0108803803143824,1.010714285714288,339.9678571428571,1.0,336.36,333.2275,341.1646687823712,331.5553312176288,336.36,1,10,0,11,0.84241015,0.8430036964669314,70234.43175000072
