entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma5,entry_ma10,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,atr_normalized,volatility_regime,trend_regime,momentum_regime,is_win,entry_hour,entry_dayofweek,entry_month,ret_log_5m_kde_pdf,ret_log_5m_kde_cdf,ret_log_5m_kde_zscore,ret_log_5m_kde_left_tail,ret_log_5m_kde_right_tail,ret_log_5m_kde_median,ret_log_5m_kde_mean,ret_log_5m_kde_std,ret_log_5m_kde_ready,kde_aligned_tail_5m,kde_opposite_tail_5m,kde_aligned_zscore_5m,rsi_oversold,rsi_overbought,macd_bullish,macd_strength,price_above_ma20,price_above_ma60,price_above_ma5,price_above_ma10,bb_position,bb_lower_touch,price_above_st,is_morning,is_afternoon,is_bull,is_neutral,is_bear,kde_tail_spread_5m,kde_zscore_abs_5m,filter_score,entry_score,exit_score
2025-02-28 10:50:00,2025-02-28 13:25:00,-1,337.15,335.9,pivot,1.25,0.1201915,0.9298085000000001,29288.967750000003,1.0,2025-02-28,337.1,337.25,336.95,0.0,335.8,336.0,335.6,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,4,2,153.2567137375982,0.9239042375548264,1.2965708773648463,0.9239042375548264,0.0760957624451735,1.1762666547147013e-05,3.190928356896543e-05,0.0007764662514218,True,0.0760957624451735,0.9239042375548264,1.2965708773648463,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.847808475109653,1.2965708773648463,0.50995404,0.5087867545378166,0.6018728
2025-03-04 10:30:00,2025-03-04 10:50:00,-1,333.65,333.65,pivot,-0.0,0.120019,-0.320019,-10080.5985,1.0,2025-03-04,333.0,333.9,332.8,0.0,334.1,334.15,333.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,1,3,6.271251647157445,0.0037566271440451,-3.795522134086762,0.0037566271440451,0.9962433728559548,1.1554875055237245e-05,2.6629442435870508e-05,0.0007953719661589,True,0.9962433728559548,0.0037566271440451,-3.795522134086762,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9924867457119096,3.795522134086762,0.50995404,0.5183491920167113,0.6146661
2025-03-04 10:50:00,2025-03-04 11:00:00,-1,333.65,333.05,pivot,0.5999999999999659,0.120001,0.27999899999996586,8819.968499998924,1.0,2025-03-04,334.1,334.15,333.55,0.0,333.3,333.75,333.05,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,1,3,462.6838633254707,0.751827254555583,0.5317979226884175,0.751827254555583,0.248172745444417,1.1554875055237245e-05,2.6629442435870508e-05,0.0007953719661589,True,0.248172745444417,0.751827254555583,0.5317979226884175,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.5036545091111659,0.5317979226884175,0.50995404,0.5183491920167113,0.6162259
2025-03-05 08:45:00,2025-03-05 10:30:00,-1,335.5,334.9,pivot,0.6000000000000227,0.120112,0.27988800000002273,8816.472000000716,1.0,2025-03-05,335.9,336.2,335.0,0.0,334.25,335.1,333.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,8,2,3,467.7266751925635,0.2419444664175535,-0.5743624316879111,0.2419444664175535,0.7580555335824465,-9.177598006370748e-07,1.779145191323466e-05,0.0008149434217639,True,0.7580555335824465,0.2419444664175535,-0.5743624316879111,1,0,0,0.0,1,1,1,1,,0,1,0,0,1,0,0,0.516111067164893,0.5743624316879111,0.50995404,0.5179956420733304,0.6141837
2025-03-05 10:30:00,2025-03-05 10:35:00,1,334.9,334.25,pivot,-0.6499999999999773,0.1200745,-0.9700744999999773,-30557.346749999284,1.0,2025-03-05,334.25,335.1,333.55,0.0,334.3,334.6,334.2,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,2,3,607.6250689215557,0.4082284910886636,-0.2050186572084283,0.4082284910886636,0.5917715089113363,-9.177598006370748e-07,1.779145191323466e-05,0.0008149434217639,True,0.4082284910886636,0.5917715089113363,0.2050186572084283,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.18354301782267274,0.2050186572084283,0.50995404,0.5183491920167113,0.6046411
2025-10-14 13:40:00,2025-10-14 14:05:00,1,495.45,496.75,pivot,1.3000000000000114,0.129766,0.9702340000000115,30562.371000000363,1.0,2025-10-14,494.7,495.8,494.3,0.0,497.6,497.7,496.3,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,13,1,10,1.320006661264836,0.0030523583409474,-3.7585634934912737,0.0030523583409474,0.9969476416590526,1.526363514603271e-05,2.002898842598171e-05,0.000970186142635,True,0.0030523583409474,0.9969476416590526,3.7585634934912737,1,0,0,0.0,1,1,1,1,,0,1,0,1,0,1,0,-0.9938952833181052,3.7585634934912737,0.5237105,0.7739312139455318,0.62600887
2025-10-15 10:55:00,2025-10-15 11:10:00,-1,504.25,505.4,pivot,-1.1499999999999773,0.1302895,-1.4802894999999772,-46629.11924999928,1.0,2025-10-15,504.7,504.85,504.2,0.0,505.9,506.1,505.25,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,2,10,486.72317044300456,0.6542726544076258,0.2749655797240089,0.6542726544076258,0.3457273455923741,3.8075886882151153e-06,4.479622350049385e-06,0.0010657192935932,True,0.3457273455923741,0.6542726544076258,0.2749655797240089,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.3085453088152517,0.2749655797240089,0.5047069,0.5369970543405177,0.66598606
2025-10-16 10:40:00,2025-10-16 10:50:00,1,521.6,520.8,pivot,-0.8000000000000682,0.131272,-1.1312720000000684,-35635.06800000215,1.0,2025-10-16,520.9,521.9,520.6,0.0,521.1,521.3,520.5,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,3,10,258.0728727731676,0.1810744941811316,-0.7235773616123504,0.1810744941811316,0.8189255058188684,3.8075886882151153e-06,4.479622350049385e-06,0.0010657192935932,True,0.1810744941811316,0.8189255058188684,0.7235773616123504,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.6378510116377367,0.7235773616123504,0.5047069,0.5259430545181315,0.64532006
2025-10-16 10:50:00,2025-10-16 12:30:00,-1,520.8,521.75,pivot,-0.9500000000000456,0.1312765,-1.281276500000046,-40360.20975000144,1.0,2025-10-16,521.1,521.3,520.5,0.0,522.2,522.35,521.75,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,3,10,501.0122543841427,0.3966999830928936,-0.1843576261756397,0.3966999830928936,0.6033000169071063,3.8075886882151153e-06,4.479622350049385e-06,0.0010657192935932,True,0.6033000169071063,0.3966999830928936,-0.1843576261756397,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.2066000338142127,0.1843576261756397,0.5047069,0.5259430545181315,0.6095196
2025-10-22 10:40:00,2025-10-22 11:10:00,-1,533.65,535.85,pivot,-2.200000000000045,0.132085,-2.5320850000000457,-79760.67750000143,1.0,2025-10-22,534.15,534.55,533.65,0.0,536.5,536.7,535.75,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,2,10,406.842973649716,0.3614791874191735,-0.2694990020715962,0.3614791874191735,0.6385208125808265,3.221406947631298e-05,4.8367515033529015e-05,0.0012224069622578,True,0.6385208125808265,0.3614791874191735,-0.2694990020715962,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.277041625161653,0.2694990020715962,0.5047069,0.5369970543405177,0.62074316
2025-10-23 10:45:00,2025-10-23 10:55:00,1,542.85,542.6,pivot,-0.25,0.1325635,-0.5825634999999999,-18350.750249999997,1.0,2025-10-23,541.75,543.05,541.7,0.0,543.55,543.6,542.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,10,3,10,410.8856793587327,0.649538073126991,0.2618541426018062,0.649538073126991,0.350461926873009,3.221406947631298e-05,4.8367515033529015e-05,0.0012224069622578,True,0.649538073126991,0.350461926873009,-0.2618541426018062,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.299076146253982,0.2618541426018062,0.51110506,0.5403806088929675,0.6365925
2025-10-23 10:55:00,2025-10-23 12:30:00,-1,542.6,543.0,pivot,-0.3999999999999772,0.132568,-0.7325679999999772,-23075.891999999283,1.0,2025-10-23,543.55,543.6,542.55,0.0,542.65,543.4,542.35,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,10,3,10,86.71974553036355,0.9235621235540356,1.318330973463558,0.9235621235540356,0.0764378764459643,3.221406947631298e-05,4.8367515033529015e-05,0.0012224069622578,True,0.0764378764459643,0.9235621235540356,1.318330973463558,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.8471242471080712,1.318330973463558,0.51110506,0.5403806088929675,0.62073857
2025-10-24 10:25:00,2025-10-24 10:55:00,1,545.1,548.25,pivot,3.1499999999999773,0.1328005,2.8171994999999774,88741.78424999928,1.0,2025-10-24,544.1,545.45,544.1,0.0,548.85,548.95,547.95,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,4,10,16.66661432356617,0.0141936716369151,-2.557653295339513,0.0141936716369151,0.9858063283630848,4.567989946516584e-05,6.78456609330454e-05,0.0012439866053345,True,0.0141936716369151,0.9858063283630848,2.557653295339513,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.9716126567261697,2.557653295339513,0.5047069,0.5223156418797965,0.6182662
2025-10-24 10:55:00,2025-10-24 13:15:00,-1,548.25,549.7,pivot,-1.4500000000000457,0.1329385,-1.7829385000000457,-56162.56275000144,1.0,2025-10-24,548.85,548.95,547.95,0.0,550.2,550.35,549.5,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,4,10,119.64456400207804,0.894438275512749,1.1193113427905468,0.894438275512749,0.1055617244872509,4.567989946516584e-05,6.78456609330454e-05,0.0012439866053345,True,0.1055617244872509,0.894438275512749,1.1193113427905468,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,-0.7888765510254981,1.1193113427905468,0.5047069,0.5223156418797965,0.61713755
2025-10-27 10:25:00,2025-10-27 10:40:00,1,562.8,564.8,pivot,2.0,0.133828,1.666172,52484.418,1.0,2025-10-27,562.65,563.35,561.95,0.0,564.4,565.0,564.25,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,0,10,78.51783390158,0.9374710536361502,1.4846116138738226,0.9374710536361502,0.0625289463638497,5.842851379273593e-05,8.2445200355371e-05,0.0012623870656768,True,0.9374710536361502,0.0625289463638497,-1.4846116138738226,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.8749421072723005,1.4846116138738226,0.5047069,0.5349722774194401,0.61628854
2025-10-27 10:40:00,2025-10-27 12:05:00,1,564.8,563.95,pivot,-0.849999999999909,0.1338625,-1.183862499999909,-37291.66874999713,1.0,2025-10-27,564.4,565.0,564.25,0.0,564.15,564.25,563.15,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,0,10,139.3768356922623,0.8696971158964102,0.987289050747142,0.8696971158964102,0.1303028841035898,5.842851379273593e-05,8.2445200355371e-05,0.0012623870656768,True,0.8696971158964102,0.1303028841035898,-0.987289050747142,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.7393942317928204,0.987289050747142,0.5047069,0.5349722774194401,0.61085826
2025-11-11 12:10:00,2025-11-11 12:25:00,-1,586.2,585.85,pivot,0.3500000000000227,0.1351615,0.014838500000022707,467.4127500007153,1.0,2025-11-11,585.8,587.1,585.4,0.0,585.5,585.85,585.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,12,1,11,208.518124858572,0.7283302331916791,0.4679234319601325,0.7283302331916791,0.2716697668083209,4.259445900944493e-05,2.8412800923603404e-05,0.0019453481014442,True,0.2716697668083209,0.7283302331916791,0.4679234319601325,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,-0.4566604663833582,0.4679234319601325,0.50468594,0.5414646231966171,0.6103912
2025-11-11 14:35:00,2025-11-11 14:45:00,1,578.1,579.15,pivot,1.0499999999999543,0.1347175,0.7152824999999545,22531.398749998567,1.0,2025-11-11,579.2,579.55,576.95,0.0,581.1,581.4,578.6,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,14,1,11,44.37369830188935,0.0583981989625351,-1.4663847797340483,0.0583981989625351,0.9416018010374648,4.262757247960177e-05,3.144154834490784e-05,0.001965073311848,True,0.0583981989625351,0.9416018010374648,1.4663847797340483,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,-0.8832036020749298,1.4663847797340483,0.50468594,0.5376082332097923,0.64333093
2025-11-12 10:30:00,2025-11-12 11:00:00,-1,583.05,586.15,pivot,-3.1000000000000227,0.135076,-3.4350760000000227,-108204.89400000071,1.0,2025-11-12,583.3,584.0,582.6,0.0,586.0,586.65,585.25,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,2,11,274.1867817131298,0.4403232594028769,-0.1032578843761165,0.4403232594028769,0.559676740597123,4.262757247960177e-05,3.144154834490784e-05,0.001965073311848,True,0.559676740597123,0.4403232594028769,-0.1032578843761165,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.1193534811942461,0.1032578843761165,0.5047069,0.5489975468132628,0.6646422
2025-11-14 10:30:00,2025-11-14 10:35:00,-1,573.1,575.2,pivot,-2.1000000000000227,0.134449,-2.434449000000023,-76685.14350000072,1.0,2025-11-14,575.25,575.55,573.05,0.0,573.6,575.45,573.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,4,11,219.1482218859274,0.2914101923265318,-0.40756715472458,0.2914101923265318,0.7085898076734681,1.7267381430128092e-05,1.937653702263528e-05,0.0019733476981256,True,0.7085898076734681,0.2914101923265318,-0.40756715472458,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.4171796153469363,0.40756715472458,0.5047069,0.5343161343525415,0.6552192
2025-11-14 10:35:00,2025-11-14 10:55:00,1,575.2,572.6,pivot,-2.6000000000000227,0.134434,-2.9344340000000226,-92434.67100000072,1.0,2025-11-14,573.6,575.45,573.55,0.0,573.0,573.5,572.4,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,4,11,23.19381471083695,0.9637184212736172,1.8877214716388209,0.9637184212736172,0.0362815787263827,1.7267381430128092e-05,1.937653702263528e-05,0.0019733476981256,True,0.9637184212736172,0.0362815787263827,-1.8877214716388209,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9274368425472345,1.8877214716388209,0.5047069,0.5343161343525415,0.6420681
2025-11-14 10:55:00,2025-11-14 11:20:00,1,572.6,572.35,pivot,-0.25,0.1343485,-0.5843484999999999,-18406.97775,1.0,2025-11-14,573.0,573.5,572.4,0.0,571.9,572.65,571.75,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,4,11,184.1778382921695,0.7711938285512093,0.5658102736358598,0.7711938285512093,0.2288061714487906,1.7267381430128092e-05,1.937653702263528e-05,0.0019733476981256,True,0.7711938285512093,0.2288061714487906,-0.5658102736358598,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.5423876571024188,0.5658102736358598,0.5047069,0.5343161343525415,0.628847
