entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma5,entry_ma10,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,atr_normalized,volatility_regime,trend_regime,momentum_regime,is_win,entry_hour,entry_dayofweek,entry_month,ret_log_5m_kde_pdf,ret_log_5m_kde_cdf,ret_log_5m_kde_zscore,ret_log_5m_kde_left_tail,ret_log_5m_kde_right_tail,ret_log_5m_kde_median,ret_log_5m_kde_mean,ret_log_5m_kde_std,ret_log_5m_kde_ready,ret_log_15m_kde_pdf,ret_log_15m_kde_cdf,ret_log_15m_kde_zscore,ret_log_15m_kde_left_tail,ret_log_15m_kde_right_tail,ret_log_15m_kde_median,ret_log_15m_kde_mean,ret_log_15m_kde_std,ret_log_15m_kde_ready,ret_log_30m_kde_pdf,ret_log_30m_kde_cdf,ret_log_30m_kde_zscore,ret_log_30m_kde_left_tail,ret_log_30m_kde_right_tail,ret_log_30m_kde_median,ret_log_30m_kde_mean,ret_log_30m_kde_std,ret_log_30m_kde_ready,ret_log_60m_kde_pdf,ret_log_60m_kde_cdf,ret_log_60m_kde_zscore,ret_log_60m_kde_left_tail,ret_log_60m_kde_right_tail,ret_log_60m_kde_median,ret_log_60m_kde_mean,ret_log_60m_kde_std,ret_log_60m_kde_ready,kde_aligned_tail_5m,kde_opposite_tail_5m,kde_aligned_zscore_5m,kde_aligned_tail_15m,kde_opposite_tail_15m,kde_aligned_zscore_15m,kde_aligned_tail_30m,kde_opposite_tail_30m,kde_aligned_zscore_30m,kde_aligned_tail_60m,kde_opposite_tail_60m,kde_aligned_zscore_60m,rsi_oversold,rsi_overbought,macd_bullish,macd_strength,price_above_ma20,price_above_ma60,price_above_ma5,price_above_ma10,bb_position,bb_lower_touch,price_above_st,is_morning,is_afternoon,is_bull,is_neutral,is_bear,kde_tail_spread_5m,kde_zscore_abs_5m,kde_tail_spread_15m,kde_zscore_abs_15m,kde_tail_spread_30m,kde_zscore_abs_30m,kde_tail_spread_60m,kde_zscore_abs_60m,filter_score,entry_score,exit_score
2025-02-24 11:10:00,2025-02-24 15:45:00,1,346.9,347.5,eod,0.6000000000000227,0.120832,0.27916800000002273,8793.792000000716,1.0,2025-02-24,347.3,347.35,346.8,0.0,347.5,347.5,347.5,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,11,0,2,173.39314497233852,0.9112237568225152,1.191915965651225,0.9112237568225152,0.0887762431774847,1.71406813318272e-05,3.127260894742767e-05,0.0008196968776983,True,129.23400509687386,0.8845497008523229,1.0370731457267774,0.8845497008523229,0.1154502991476771,1.110174708634886e-05,9.21702672399108e-05,0.0014393683743506,True,130.0597710146857,0.8142047962305259,0.6987546085182116,0.8142047962305259,0.1857952037694741,5.2198832198354455e-06,0.0001694640645953,0.002025656036092,True,112.02465231964985,0.7880838920793594,0.6998184946602777,0.7880838920793594,0.2119161079206406,0.000103592572168,0.0003216069190232,0.002629602505582,True,0.9112237568225152,0.0887762431774847,-1.191915965651225,0.8845497008523229,0.1154502991476771,-1.0370731457267774,0.8142047962305259,0.1857952037694741,-0.6987546085182116,0.7880838920793594,0.2119161079206406,-0.6998184946602777,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.8224475136450305,1.191915965651225,0.7690994017046457,1.0370731457267774,0.6284095924610518,0.6987546085182116,0.5761677841587187,0.6998184946602777,0.75867534,0.5541658091004834,0.73321784
2025-02-27 10:40:00,2025-02-27 10:55:00,-1,346.95,346.25,pivot,0.6999999999999886,0.120796,0.3792039999999887,11944.925999999645,1.0,2025-02-27,346.4,347.1,346.3,0.0,345.9,346.35,345.85,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,3,2,62.20741095423312,0.0253213230634392,-1.8937053553074472,0.0253213230634392,0.9746786769365609,1.816823557373071e-05,3.537701632893986e-05,0.0007803507021888,True,14.237719085980515,0.0152358952328988,-2.276680125301428,0.0152358952328988,0.9847641047671012,2.790254164285064e-05,0.0001110218776285,0.0013149405413097,True,56.48485992013047,0.0552453688615921,-1.3727288608726806,0.0552453688615921,0.944754631138408,4.210901245704854e-05,0.0002046185993848,0.0018295125635395,True,70.78499645168847,0.0897170195269931,-1.1996866901685703,0.0897170195269931,0.9102829804730068,0.0001712040082127,0.0004306725442536,0.0025218714442658,True,0.9746786769365609,0.0253213230634392,-1.8937053553074472,0.9847641047671012,0.0152358952328988,-2.276680125301428,0.944754631138408,0.0552453688615921,-1.3727288608726806,0.9102829804730068,0.0897170195269931,-1.1996866901685703,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9493573538731217,1.8937053553074472,0.9695282095342024,2.276680125301428,0.8895092622768158,1.3727288608726806,0.8205659609460138,1.1996866901685703,0.73457056,0.49940750694439673,0.7255541
2025-02-27 10:55:00,2025-02-27 11:45:00,-1,346.25,346.1,pivot,0.1499999999999772,0.1207705,-0.17077050000002275,-5379.270750000716,1.0,2025-02-27,345.9,346.35,345.85,0.0,345.75,346.15,345.65,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,3,2,144.34736201536833,0.0676677834616309,-1.3413437981387637,0.0676677834616309,0.9323322165383692,1.816823557373071e-05,3.537701632893986e-05,0.0007803507021888,True,119.22454378774344,0.0839783204950767,-1.1829300062771348,0.0839783204950767,0.9160216795049232,2.790254164285064e-05,0.0001110218776285,0.0013149405413097,True,6.485990455228928,0.0096052898438729,-2.4770294304504823,0.0096052898438729,0.990394710156127,4.210901245704854e-05,0.0002046185993848,0.0018295125635395,True,36.88472787188128,0.0440623926804988,-1.5440436021134607,0.0440623926804988,0.9559376073195012,0.0001712040082127,0.0004306725442536,0.0025218714442658,True,0.9323322165383692,0.0676677834616309,-1.3413437981387637,0.9160216795049232,0.0839783204950767,-1.1829300062771348,0.990394710156127,0.0096052898438729,-2.4770294304504823,0.9559376073195012,0.0440623926804988,-1.5440436021134607,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.8646644330767382,1.3413437981387637,0.8320433590098465,1.1829300062771348,0.9807894203122541,2.4770294304504823,0.9118752146390023,1.5440436021134607,0.75846994,0.5266586392780634,0.73572385
2025-02-27 15:25:00,2025-02-27 15:45:00,1,346.45,346.55,eod,0.1000000000000227,0.12079,-0.22078999999997725,-6954.8849999992835,1.0,2025-02-27,346.75,346.8,346.35,0.0,346.55,346.55,346.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,15,3,2,216.56127462690029,0.8922450675070611,1.0736356363914112,0.8922450675070611,0.1077549324929388,1.1762666547147013e-05,3.190928356896543e-05,0.0007764662514218,True,53.17680064308831,0.9561799396689498,1.6613041406740858,0.9561799396689498,0.0438200603310502,3.479837680014641e-05,0.0001079015914254,0.00132540550811,True,93.11270655013622,0.8856912425143529,1.0704843061419484,0.8856912425143529,0.114308757485647,6.75622969693994e-05,0.0002256113326183,0.0018119581888958,True,38.85971912553847,0.9459490800963988,1.583918337901563,0.9459490800963988,0.0540509199036013,0.0001868351184355,0.0004051440626897,0.002389839580568,True,0.8922450675070611,0.1077549324929388,-1.0736356363914112,0.9561799396689498,0.0438200603310502,-1.6613041406740858,0.8856912425143529,0.114308757485647,-1.0704843061419484,0.9459490800963988,0.0540509199036013,-1.583918337901563,1,0,0,0.0,1,1,1,1,,0,1,0,0,1,0,0,0.7844901350141223,1.0736356363914112,0.9123598793378995,1.6613041406740858,0.7713824850287059,1.0704843061419484,0.8918981601927974,1.583918337901563,0.706847,0.5460657148902093,0.7198938
2025-03-04 10:30:00,2025-03-04 10:50:00,-1,333.65,333.65,pivot,-0.0,0.120019,-0.320019,-10080.5985,1.0,2025-03-04,333.0,333.9,332.8,0.0,334.1,334.15,333.55,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,10,1,3,8.641878209347675,0.0095325346368887,-2.673623549481857,0.0095325346368887,0.9904674653631113,1.1554875055237245e-05,2.6629442435870508e-05,0.0007953719661589,True,7.264657188348117,0.0067219374795143,-3.1389437128262,0.0067219374795143,0.9932780625204856,3.353917096393232e-05,7.842913215497838e-05,0.0013615473080304,True,8.237746534156352,0.0094008276544834,-2.5583926554251537,0.0094008276544834,0.9905991723455164,3.3243131135849446e-05,0.0001454184522004,0.001871985400844,True,0.5385916788923041,0.0001666113411341,-3.475266521015458,0.0001666113411341,0.9998333886588658,0.0001502288373906,0.000318321089839,0.0024581327679714,True,0.9904674653631113,0.0095325346368887,-2.673623549481857,0.9932780625204856,0.0067219374795143,-3.1389437128262,0.9905991723455164,0.0094008276544834,-2.5583926554251537,0.9998333886588658,0.0001666113411341,-3.475266521015458,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9809349307262225,2.673623549481857,0.9865561250409712,3.1389437128262,0.9811983446910331,2.5583926554251537,0.9996667773177318,3.475266521015458,0.8881572,0.5874883062449103,0.6804476
2025-03-05 13:10:00,2025-03-05 13:55:00,1,336.65,336.35,pivot,-0.2999999999999545,0.12019,-0.6201899999999545,-19535.984999998567,1.0,2025-03-05,336.9,336.95,336.55,0.0,336.6,336.6,336.25,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,13,2,3,202.1816867477975,0.8908724549467101,1.0713347461574725,0.8908724549467101,0.1091275450532899,-9.177598006370748e-07,1.779145191323466e-05,0.0008149434217639,True,73.89609400235854,0.9336109076702792,1.3478121893191497,0.9336109076702792,0.0663890923297207,2.0310923814001388e-05,7.865106621472426e-05,0.0014848347474793,True,29.85351843384371,0.96034672409856,1.670174811227464,0.96034672409856,0.0396532759014399,4.48104709823648e-05,0.0001654187963454,0.0020374080648908,True,40.41729389434106,0.940838563278292,1.4659124632077645,0.940838563278292,0.059161436721708,0.0001387403335319,0.0002681064341568,0.0026577900552726,True,0.8908724549467101,0.1091275450532899,-1.0713347461574725,0.9336109076702792,0.0663890923297207,-1.3478121893191497,0.96034672409856,0.0396532759014399,-1.670174811227464,0.940838563278292,0.059161436721708,-1.4659124632077645,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,0.7817449098934202,1.0713347461574725,0.8672218153405585,1.3478121893191497,0.9206934481971202,1.670174811227464,0.8816771265565839,1.4659124632077645,0.7382782,0.45301626220067964,0.6733797
2025-03-07 13:05:00,2025-03-07 14:15:00,1,338.7,338.95,pivot,0.25,0.1203295,-0.0703295,-2215.37925,1.0,2025-03-07,339.0,339.25,338.7,0.0,339.2,339.2,338.95,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,13,4,3,160.72818329440872,0.912280310828615,1.1682152682586922,0.912280310828615,0.0877196891713849,4.486270124810861e-06,2.43200788046304e-05,0.000863421039032,True,28.51294582956137,0.970643172926216,1.9408191211111088,0.970643172926216,0.029356827073784,3.2004483495463244e-05,7.651392177477403e-05,0.0014827234255653,True,42.895293758352864,0.948545278044258,1.4662345690862346,0.948545278044258,0.051454721955742,8.05138778499662e-05,0.0001461507041185,0.0020160492681678,True,81.60428305211315,0.8794237859018391,1.0787627932346897,0.8794237859018391,0.1205762140981608,0.0001059250281814,0.000216268292762,0.0026751789730083,True,0.912280310828615,0.0877196891713849,-1.1682152682586922,0.970643172926216,0.029356827073784,-1.9408191211111088,0.948545278044258,0.051454721955742,-1.4662345690862346,0.8794237859018391,0.1205762140981608,-1.0787627932346897,1,0,0,0.0,1,1,1,1,,0,1,0,1,1,0,0,0.8245606216572301,1.1682152682586922,0.9412863458524321,1.9408191211111088,0.8970905560885161,1.4662345690862346,0.7588475718036783,1.0787627932346897,0.72763395,0.3909350566102552,0.6577424
2025-03-19 10:40:00,2025-03-19 10:45:00,-1,351.75,350.5,pivot,1.25,0.1210675,0.9289324999999999,29261.37375,1.0,2025-03-19,350.5,351.85,350.3,0.0,350.85,350.9,350.35,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,2,3,3.555442682380613,0.0008021858136948,-3.976688259999917,0.0008021858136948,0.9991978141863052,1.53508539795896e-05,3.940648498385976e-05,0.000940866386594,True,3.25676094676487,0.0017248387590264,-3.214989431955323,0.0017248387590264,0.9982751612409736,2.7777983068853395e-05,0.0001067287845052,0.0015823296456548,True,11.182654867170744,0.012225575041959,-2.30696537871414,0.012225575041959,0.9877744249580408,7.810760574684512e-05,0.0001855835171284,0.0021777843529622,True,32.60677355955504,0.0517102544074468,-1.614642172838901,0.0517102544074468,0.9482897455925532,4.219280865181842e-05,0.000174203132525,0.0029286506313488,True,0.9991978141863052,0.0008021858136948,-3.976688259999917,0.9982751612409736,0.0017248387590264,-3.214989431955323,0.9877744249580408,0.012225575041959,-2.30696537871414,0.9482897455925532,0.0517102544074468,-1.614642172838901,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9983956283726103,3.976688259999917,0.9965503224819472,3.214989431955323,0.9755488499160818,2.30696537871414,0.8965794911851064,1.614642172838901,0.9209364,0.5711228093916484,0.64002407
2025-03-24 10:50:00,2025-03-24 10:55:00,-1,354.8,354.25,pivot,0.5500000000000114,0.1212715,0.2287285000000114,7204.9477500003595,1.0,2025-03-24,354.2,354.8,354.05,0.0,354.1,354.35,353.9,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,10,0,3,63.80020781407264,0.04102252495157,-1.659169671949961,0.04102252495157,0.95897747504843,3.2440210966407776e-05,6.247573212371662e-05,0.0009728157709426,True,23.194218751263733,0.0199381476962902,-2.021225851691629,0.0199381476962902,0.9800618523037098,5.817035680187748e-06,0.0001289597783924,0.0016675294845168,True,25.561978163805925,0.029206303613574,-1.83211986477463,0.029206303613574,0.970793696386426,3.096507482239024e-06,0.0001436850590083,0.0022315479618074,True,160.4736582392475,0.4489329224505882,-0.155018219603794,0.4489329224505882,0.5510670775494118,3.341592188480065e-05,0.0001860836712212,0.0030213880349777,True,0.95897747504843,0.04102252495157,-1.659169671949961,0.9800618523037098,0.0199381476962902,-2.021225851691629,0.970793696386426,0.029206303613574,-1.83211986477463,0.5510670775494118,0.4489329224505882,-0.155018219603794,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.91795495009686,1.659169671949961,0.9601237046074196,2.021225851691629,0.941587392772852,1.83211986477463,0.10213415509882356,0.155018219603794,0.8316271,0.45824285166272066,0.6437236
2025-03-28 11:00:00,2025-03-28 13:10:00,-1,345.2,344.45,pivot,0.75,0.1206895,0.42931050000000004,13523.280750000002,1.0,2025-03-28,344.8,345.35,344.7,0.0,344.15,344.55,344.15,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,11,4,3,94.13830908547904,0.0450187628763627,-1.5191150323327958,0.0450187628763627,0.9549812371236372,1.5473571055463193e-05,5.727381590768525e-05,0.0008962634736622,True,32.04768005927905,0.0240769838874081,-1.8578805611398344,0.0240769838874081,0.9759230161125918,2.1009360370317973e-05,0.0001536398887292,0.0014858048921489,True,14.497611145419253,0.0135301447966485,-2.2307874407572337,0.0135301447966485,0.9864698552033514,5.377473613787863e-05,0.0002481347046381,0.0019924145776702,True,173.65942941295856,0.5331202205944365,-0.0106152270599869,0.5331202205944365,0.4668797794055634,0.000100526743208,0.0003198662130553,0.0028073771920884,True,0.9549812371236372,0.0450187628763627,-1.5191150323327958,0.9759230161125918,0.0240769838874081,-1.8578805611398344,0.9864698552033514,0.0135301447966485,-2.2307874407572337,0.4668797794055634,0.5331202205944365,-0.0106152270599869,1,0,0,0.0,1,1,1,1,,0,1,1,0,1,0,0,0.9099624742472745,1.5191150323327958,0.9518460322251837,1.8578805611398344,0.9729397104067029,2.2307874407572337,-0.06624044118887312,0.0106152270599869,0.8112269,0.5099755088754537,0.6557338
