window,bandwidth,grid_points,refit_every,val_roc_auc,val_pnl,val_sharpe,val_win_rate,threshold,n_trades
900,scott,1024,100,0.48643553055317756,-1972241.8852499956,-3.3666846594593456,0.3333333333333333,0.5000000000000001,8059
900,silverman,1024,100,0.47949125596184416,-1904899.940999999,-3.5137857375071375,0.32926829268292684,0.5000000000000001,8059
1000,scott,1024,100,0.4808446455505279,-1716121.370250005,-2.252136246186573,0.3649122807017544,0.5000000000000001,8059
1000,silverman,1024,100,0.4916839916839917,-1813337.8200000008,-2.4515196721027386,0.3680297397769517,0.5000000000000001,8059
1100,scott,1024,100,0.45738657209245454,-2095902.3487500083,-3.3982846196902927,0.32941176470588235,0.5000000000000001,8059
1100,silverman,1024,100,0.4783987607517019,-1910746.293750006,-3.3003518336204136,0.3458646616541353,0.5000000000000001,8059
1200,scott,1024,100,0.5203008438302555,-2804153.0422499995,-3.4429811802753547,0.3648293963254593,0.5000000000000001,8056
1200,silverman,1024,100,0.5235844441726795,-2781980.6017500004,-3.475016220664625,0.375,0.5000000000000001,8056
