horizon,variant,n_trades,win_rate,total_pnl,profit_factor,sharpe,cagr,mdd,mar
1,Baseline,325,48.92307692307693,179384.93999990472,1.008913017268689,0.07888016321579247,1.2258317602485969,3806365.4055000134,0.03220478408292933
1,KDE-enhanced,122,43.44262295081967,-1472784.2010000246,0.8364073727569251,-1.1073289371838257,-10.45438853579691,3489958.316250013,-0.2995562579392132
3,Baseline,226,47.78761061946903,-1336296.5437500298,0.8939932722164738,-0.6097251913192023,-9.362064680415205,3673232.51400002,-0.2548726399631111
3,KDE-enhanced,129,53.48837209302325,4125427.2359999977,1.5978075726776912,2.5618936272718087,26.704458713658674,997866.4972500112,2.6761554563914762
4,Baseline,66,50.0,1186508.0902499843,1.2947491856145268,1.300101811273298,8.51764529674719,1346956.2697500102,0.6323624224510297
4,KDE-enhanced,161,52.79503105590062,940349.4975000006,1.0950974731686731,0.4448036750943478,6.352324747820304,2893754.7135000043,0.21951842421837992
5,Baseline,178,45.50561797752809,-2657191.4932500217,0.7480601770752978,-1.3665468459835604,-19.43580220956944,3919344.8804999944,-0.4958941558388707
5,KDE-enhanced,156,60.256410256410255,2962353.665249998,1.3701484847347418,1.684190461691931,19.459062929064295,1912442.0962499883,1.017498148948959
6,Baseline,118,47.45762711864407,1282712.1300000031,1.2458091428491027,1.220483681182952,9.333463123248297,1197012.4897500016,0.7797298025852354
6,KDE-enhanced,229,51.96506550218341,-274381.0335000168,0.9859001309011353,-0.13072229940640734,-1.9097682700332852,2399547.401999995,-0.07958868695161077
7,Baseline,306,44.771241830065364,-2125855.147500028,0.8569755778596799,-1.04248152790804,-15.454038251327894,4094348.1862500077,-0.3774480710562667
7,KDE-enhanced,123,56.91056910569105,-521356.4842500305,0.9026029178274135,-0.529795413234864,-3.642973651788206,2217191.9805000145,-0.16430573824133413
10,Baseline,96,46.875,-3241933.1122500105,0.4570103661027062,-3.1086700984912143,-25.196794497569897,3424278.5797500145,-0.7358278221455148
10,KDE-enhanced,799,52.19023779724657,1549375.9312498812,1.0343176712574107,0.2746044512929982,10.374717098096875,3634687.6807500403,0.2854362742923757
20,Baseline,337,44.510385756676556,-3867301.116000017,0.7720840223720439,-2.5424329195819486,-28.881223169606475,4137628.855500019,-0.6980138668362093
20,KDE-enhanced,762,51.44356955380578,-1430875.0417501004,0.9682282542792878,-0.30093359459089564,-10.041285309020731,4696142.078250064,-0.2138198789922992
