n_trades,win_rate,total_pnl,avg_pnl,profit_factor,sharpe,cagr,mdd,mar,profit_loss_ratio,stage1_metric,stage2_metric,stage3_metric,stage3_min_trades,stage1_threshold,stage2_threshold,stage3_threshold,stage3_val_score
79,43.037974683544306,1262270.4254999966,15978.106651898692,1.2858440527381534,1.2742609392920916,8.587692577621775,1133712.3577500004,0.7574842524134753,1.7018524227416736,pnl,pnl,sharpe,30,0.485116,0.545448,10601.487305,0.58
115,42.608695652173914,1042201.3297500048,9062.620258695693,1.1603507481063742,0.7096976746338806,7.11264889341463,1888387.7040000018,0.37665193849486234,1.5629214158167488,pnl,pnl,sharpe,50,0.485116,0.545448,9459.668945,0.18
140,40.714285714285715,886025.5739999934,6328.754099999953,1.1173950912118635,0.5754365649783317,6.001747922745659,2235360.109499993,0.2684913225944671,1.627084080185696,pnl,pnl,sharpe,75,0.485116,0.545448,8300.020508,-0.62
176,42.61363636363637,895842.2812499949,5090.012961647698,1.099022884892017,0.512166145412853,6.067366491200765,2453483.4502500044,0.24729600236685984,1.480017484987916,pnl,pnl,sharpe,100,0.485116,0.545448,4800.342383,-1.03
79,43.037974683544306,1262270.4254999966,15978.106651898692,1.2858440527381534,1.2742609392920916,8.587692577621775,1133712.3577500004,0.7574842524134753,1.7018524227416736,pnl,pnl,pf,30,0.485116,0.545448,10601.487305,1.34
115,42.608695652173914,1042201.3297500048,9062.620258695693,1.1603507481063742,0.7096976746338806,7.11264889341463,1888387.7040000018,0.37665193849486234,1.5629214158167488,pnl,pnl,pf,50,0.485116,0.545448,9459.668945,1.07
140,40.714285714285715,886025.5739999934,6328.754099999953,1.1173950912118635,0.5754365649783317,6.001747922745659,2235360.109499993,0.2684913225944671,1.627084080185696,pnl,pnl,pf,75,0.485116,0.545448,8300.020508,0.82
176,42.61363636363637,895842.2812499949,5090.012961647698,1.099022884892017,0.512166145412853,6.067366491200765,2453483.4502500044,0.24729600236685984,1.480017484987916,pnl,pnl,pf,100,0.485116,0.545448,4800.342383,0.76
79,43.037974683544306,1262270.4254999966,15978.106651898692,1.2858440527381534,1.2742609392920916,8.587692577621775,1133712.3577500004,0.7574842524134753,1.7018524227416736,pnl,sharpe_x_pf,sharpe,30,0.485116,0.545448,10601.487305,0.58
115,42.608695652173914,1042201.3297500048,9062.620258695693,1.1603507481063742,0.7096976746338806,7.11264889341463,1888387.7040000018,0.37665193849486234,1.5629214158167488,pnl,sharpe_x_pf,sharpe,50,0.485116,0.545448,9459.668945,0.18
140,40.714285714285715,886025.5739999934,6328.754099999953,1.1173950912118635,0.5754365649783317,6.001747922745659,2235360.109499993,0.2684913225944671,1.627084080185696,pnl,sharpe_x_pf,sharpe,75,0.485116,0.545448,8300.020508,-0.62
176,42.61363636363637,895842.2812499949,5090.012961647698,1.099022884892017,0.512166145412853,6.067366491200765,2453483.4502500044,0.24729600236685984,1.480017484987916,pnl,sharpe_x_pf,sharpe,100,0.485116,0.545448,4800.342383,-1.03
79,43.037974683544306,1262270.4254999966,15978.106651898692,1.2858440527381534,1.2742609392920916,8.587692577621775,1133712.3577500004,0.7574842524134753,1.7018524227416736,pnl,sharpe_x_pf,pf,30,0.485116,0.545448,10601.487305,1.34
115,42.608695652173914,1042201.3297500048,9062.620258695693,1.1603507481063742,0.7096976746338806,7.11264889341463,1888387.7040000018,0.37665193849486234,1.5629214158167488,pnl,sharpe_x_pf,pf,50,0.485116,0.545448,9459.668945,1.07
140,40.714285714285715,886025.5739999934,6328.754099999953,1.1173950912118635,0.5754365649783317,6.001747922745659,2235360.109499993,0.2684913225944671,1.627084080185696,pnl,sharpe_x_pf,pf,75,0.485116,0.545448,8300.020508,0.82
176,42.61363636363637,895842.2812499949,5090.012961647698,1.099022884892017,0.512166145412853,6.067366491200765,2453483.4502500044,0.24729600236685984,1.480017484987916,pnl,sharpe_x_pf,pf,100,0.485116,0.545448,4800.342383,0.76
79,43.037974683544306,1262270.4254999966,15978.106651898692,1.2858440527381534,1.2742609392920916,8.587692577621775,1133712.3577500004,0.7574842524134753,1.7018524227416736,sharpe_x_pf,pnl,sharpe,30,0.485116,0.545448,10601.487305,0.58
115,42.608695652173914,1042201.3297500048,9062.620258695693,1.1603507481063742,0.7096976746338806,7.11264889341463,1888387.7040000018,0.37665193849486234,1.5629214158167488,sharpe_x_pf,pnl,sharpe,50,0.485116,0.545448,9459.668945,0.18
140,40.714285714285715,886025.5739999934,6328.754099999953,1.1173950912118635,0.5754365649783317,6.001747922745659,2235360.109499993,0.2684913225944671,1.627084080185696,sharpe_x_pf,pnl,sharpe,75,0.485116,0.545448,8300.020508,-0.62
176,42.61363636363637,895842.2812499949,5090.012961647698,1.099022884892017,0.512166145412853,6.067366491200765,2453483.4502500044,0.24729600236685984,1.480017484987916,sharpe_x_pf,pnl,sharpe,100,0.485116,0.545448,4800.342383,-1.03
79,43.037974683544306,1262270.4254999966,15978.106651898692,1.2858440527381534,1.2742609392920916,8.587692577621775,1133712.3577500004,0.7574842524134753,1.7018524227416736,sharpe_x_pf,pnl,pf,30,0.485116,0.545448,10601.487305,1.34
115,42.608695652173914,1042201.3297500048,9062.620258695693,1.1603507481063742,0.7096976746338806,7.11264889341463,1888387.7040000018,0.37665193849486234,1.5629214158167488,sharpe_x_pf,pnl,pf,50,0.485116,0.545448,9459.668945,1.07
140,40.714285714285715,886025.5739999934,6328.754099999953,1.1173950912118635,0.5754365649783317,6.001747922745659,2235360.109499993,0.2684913225944671,1.627084080185696,sharpe_x_pf,pnl,pf,75,0.485116,0.545448,8300.020508,0.82
176,42.61363636363637,895842.2812499949,5090.012961647698,1.099022884892017,0.512166145412853,6.067366491200765,2453483.4502500044,0.24729600236685984,1.480017484987916,sharpe_x_pf,pnl,pf,100,0.485116,0.545448,4800.342383,0.76
79,43.037974683544306,1262270.4254999966,15978.106651898692,1.2858440527381534,1.2742609392920916,8.587692577621775,1133712.3577500004,0.7574842524134753,1.7018524227416736,sharpe_x_pf,sharpe_x_pf,sharpe,30,0.485116,0.545448,10601.487305,0.58
115,42.608695652173914,1042201.3297500048,9062.620258695693,1.1603507481063742,0.7096976746338806,7.11264889341463,1888387.7040000018,0.37665193849486234,1.5629214158167488,sharpe_x_pf,sharpe_x_pf,sharpe,50,0.485116,0.545448,9459.668945,0.18
140,40.714285714285715,886025.5739999934,6328.754099999953,1.1173950912118635,0.5754365649783317,6.001747922745659,2235360.109499993,0.2684913225944671,1.627084080185696,sharpe_x_pf,sharpe_x_pf,sharpe,75,0.485116,0.545448,8300.020508,-0.62
